ka 17243,19,a|17712,19,a|18149,19,a
kaszuba 19560,56,div|19561,56,div|19561,110,div|19561,146,div|19672,56,div|19685,56,div
katango 17581,0,title|17581,0,h1
kate 18761,27,p|18775,27,p|18792,27,p|18883,27,p|18965,0,a|19422,0,a|19422,2,li|19435,0,a|19435,2,li
katherin 19427,0,a|19432,0,a|19716,0,li|19717,0,h2|19717,0,p|19717,209,p|19717,0,li|19718,0,h2|19718,0,p|19718,209,p|19721,0,li|19724,0,h2|19724,0,p|19724,209,p|19724,0,li|19730,0,h2|19730,0,p|19730,23,p|19731,0,h2|19731,0,p|19731,209,p|19733,0,h2|19733,0,p|19733,209,p|19733,0,li|19735,0,h2|19735,0,p|19735,23,p|19792,0,p|20134,52,li|20134,1,li|20134,1,li
katherineinterfac 19717,11,a|19718,11,a|19724,11,a|19730,11,a|19731,11,a|19733,11,a|19735,11,a
kathi 18552,0,a|19832,286,p|19881,286,p|19950,0,p|20049,286,p|20260,286,p|20309,286,p
kathleen 19342,1,li
kathryn 18967,21,li|18967,14,li|18967,50,li|18967,55,li|18967,46,li
kati 17293,6,p|17527,134,p|17857,134,p|17919,26,p|18660,0,strong|18661,0,strong|19234,0,a|19287,2,li|19426,7,li|19427,0,a|19755,120,p|19764,120,p|19777,282,p|19781,166,p|19799,12,p|19807,0,title|19807,0,h1|19807,0,h1|19851,263,p|19877,0,title|19877,0,h1|19877,0,h1|19884,0,p|19891,0,a|19891,0,a|19910,166,p|19944,282,p|19964,0,a|19964,0,a|19967,12,p|20007,120,p|20017,12,p|20019,12,p|20048,263,span|20063,12,p|20105,282,p|20134,16,li|20134,2,li|20134,0,li|20134,1,li|20134,220,li|20134,33,li|20134,93,li|20136,12,p|20190,12,p|20251,0,a|20251,0,a|20279,166,p
katiyar 17098,85,p|17139,85,p|17236,52,p|17461,52,p|17765,53,p|17765,310,p|17894,8,p|17909,52,p|18000,71,p|18073,357,p|18234,8,p|18335,8,p|18370,8,p
katker 16983,18,p|17631,22,p|17709,7,p|17709,7,p|17709,18,p|17709,20,p|17709,7,p|17709,7,p|17709,7,p|17709,17,p|17709,7,p|17709,18,p|17709,16,p|17709,19,p|17709,73,p|17709,76,p|17787,6,p|17874,0,li
katoul 20191,392,p|20275,392,p
katrina 17312,258,p|17312,76,p|17316,311,p|17477,256,p|17672,241,p|17850,825,p|18350,256,p|18467,256,p|20134,147,li
katya 19647,0,td|19647,0,td
kaufman 18657,7,li|18680,9,p
kaufmann 19716,92,p|19717,92,p|19721,92,p|19723,92,p|19724,92,p|19725,92,p|19733,92,p
kaur 18828,8,a
kaurava 16950,291,p
kaushik 18095,0,a|18543,0,a|19234,0,a
kaveh 18925,33,li|18925,33,li
kavi 19647,0,td
kawauchi 19560,53,div|19660,53,div|19660,90,div|19660,116,div|19668,53,div|19672,53,div|19685,53,div
kay 19438,20,li|19465,12,p|19834,1,dd|19963,1,dd
kayaalp 17709,8,p|17709,10,p|17709,10,p|17709,7,p|17709,7,p|17709,7,p|17709,7,p|17709,7,p|17709,7,p|17709,10,p|17709,37,p|17709,9,p
kayla 19792,14,figcaption|19895,28,p|20134,395,li|20134,201,li
kazakhstan 18054,133,p
kb 16973,108,p|16973,156,p|16973,212,p|16973,248,p|17426,108,p|17426,156,p|17426,212,p|17426,248,p|17565,108,p|17565,156,p|17565,212,p|17565,248,p|18372,5,p|18372,6,p|18372,6,p|18372,4,p|18372,5,p|18372,5,p|18372,4,p|18372,4,p|18372,4,p|18372,4,p|18372,4,p|18372,4,p|18372,5,p|18372,4,p|18372,4,p|18372,4,p|18372,5,p|18434,108,p|18434,156,p|18434,212,p|18434,248,p|19055,46,p|19055,68,p|19211,44,div|19211,64,p|19211,46,div|19211,69,p|19211,45,dd|19211,55,code|19211,122,pre
kbse 18652,56,p|18652,53,p|18652,54,p|18652,65,p
kd 19043,0,li|19228,242,p|19232,0,span
kdd 18937,2,li|18999,0,code|19010,242,p|19010,329,p|19024,0,a|19038,180,pre|19038,242,pre|19129,369,p|19129,1333,p|19144,160,p|19144,128,p|19205,47,p|19205,5,a|19228,40,td|19228,40,td|19265,0,code
kddcup 19010,28,a|19010,28,a
kde 18965,6,li|19038,13,pre|19038,150,pre|19043,27,a|19043,5,li|19157,73,p
ke 19407,0,strong|19427,0,a|19429,0,title|19429,0,span|19429,0,p|19429,0,span|19429,0,span|19434,0,a
kearney 17549,363,p
keator 19234,6,a|19639,6,div|19639,9,div|19639,15,div|19672,6,div|19685,6,div
kedem 18950,0,li
keel 19395,145,p
keen 17131,189,p|17334,118,p|17437,28,p|17437,24,p|17437,40,p|17437,101,p|17437,700,p|18585,382,p|19401,73,p
keep 16908,162,p|16909,250,p|16950,117,p|17011,72,p|17022,765,p|17029,266,p|17054,0,p|17070,258,p|17081,254,p|17082,110,p|17084,313,p|17084,344,p|17097,11,p|17103,88,p|17106,157,p|17109,78,p|17114,32,p|17115,129,p|17128,155,p|17131,495,p|17131,544,p|17131,78,p|17143,145,p|17174,57,p|17214,551,p|17216,48,p|17223,104,p|17223,45,p|17256,134,p|17264,208,p|17292,233,p|17293,40,p|17293,50,p|17305,61,p|17314,97,p|17320,126,p|17344,188,p|17348,19,a|17349,45,p|17364,101,p|17376,16,p|17382,420,p|17441,67,p|17453,303,p|17456,532,p|17456,123,p|17470,31,p|17470,67,p|17484,188,p|17493,23,p|17496,15,p|17502,35,p|17502,80,p|17511,173,p|17564,697,p|17570,0,p|17571,177,p|17586,208,p|17589,208,p|17596,19,p|17597,22,p|17597,214,p|17608,151,p|17626,173,p|17627,145,p|17631,116,p|17640,31,p|17640,265,p|17647,221,p|17652,11,p|17682,69,p|17693,97,p|17695,42,p|17701,137,p|17720,20,p|17734,78,p|17741,17,p|17744,315,p|17746,145,p|17773,67,p|17782,30,p|17808,67,p|17810,106,p|17827,128,p|17827,6,p|17852,7,p|17855,107,p|17859,16,p|17865,71,p|17900,221,p|17906,188,p|17926,382,p|17929,796,p|17938,160,p|17940,787,p|17940,270,p|17957,11,p|17973,481,p|17988,254,p|17988,310,p|17994,99,p|18005,201,p|18022,155,p|18033,342,p|18040,420,p|18058,173,p|18062,152,p|18073,162,p|18080,447,p|18086,251,p|18095,170,p|18097,1561,p|18097,58,p|18106,322,p|18108,347,p|18108,6,p|18108,86,p|18108,276,p|18109,208,p|18110,130,p|18151,188,p|18152,199,p|18167,77,p|18174,78,p|18174,511,p|18181,146,p|18196,200,p|18202,95,p|18202,247,p|18203,108,p|18206,234,p|18206,6,p|18206,172,p|18206,78,p|18208,57,p|18217,229,p|18218,19,a|18229,0,p|18245,269,p|18245,277,p|18256,98,p|18262,25,p|18280,200,p|18305,71,p|18308,106,p|18326,31,p|18326,67,p|18327,129,p|18330,196,p|18334,670,p|18339,48,p|18374,286,p|18379,53,p|18382,78,p|18383,50,p|18383,445,p|18385,181,p|18385,295,p|18385,46,p|18388,235,p|18393,86,p|18397,104,p|18413,305,p|18427,251,p|18442,11,p|18443,128,p|18449,369,p|18449,427,p|18455,45,p|18465,20,p|18472,152,p|18473,67,p|18476,146,p|18476,121,p|18485,11,p|18486,11,p|18499,19,a|18506,947,p|18509,99,p|18511,1164,p|18516,251,p|18525,97,p|18526,166,p|18545,319,p|18545,149,p|18545,301,p|18550,78,p|18555,129,p|18564,78,p|18564,511,p|18565,146,p|18582,227,p|18585,233,p|18590,372,p|18590,439,p|18590,538,p|18596,127,p|18597,24,p|18599,147,p|18605,401,p|18606,392,p|18607,214,p|18620,368,p|18625,310,p|18640,124,p|18662,1074,div|18670,0,div|18673,1152,p|18831,175,p|18906,482,p|18906,332,p|18906,510,p|18909,482,p|18914,494,il|18932,12,b|18953,8,span|18967,39,li|18967,12,li|18967,22,li|18967,53,li|18972,9,td|18987,78,pre|18987,9,p|18987,124,p|18999,28,p|18999,3,span|19009,66,p|19009,34,p|19009,65,p|19009,62,p|19009,38,p|19009,46,p|19009,43,p|19009,64,p|19009,34,p|19009,45,p|19009,33,p|19009,37,p|19009,55,p|19009,58,p|19009,33,p|19009,31,p|19009,70,p|19009,34,p|19009,39,p|19009,25,p|19009,62,p|19009,50,p|19009,23,p|19009,39,p|19009,55,p|19009,47,p|19009,81,p|19009,62,p|19009,43,p|19009,44,p|19009,64,p|19009,72,p|19009,54,p|19009,53,p|19009,49,p|19009,45,p|19009,29,p|19009,53,p|19009,76,p|19009,43,p|19009,45,p|19009,51,p|19009,71,p|19009,46,p|19009,31,p|19009,39,p|19009,45,p|19009,47,p|19009,43,p|19009,32,p|19009,44,p|19009,67,p|19009,42,p|19009,62,p|19009,49,p|19009,59,p|19009,80,p|19009,47,p|19009,58,p|19009,55,p|19009,69,p|19009,30,p|19009,44,p|19009,65,p|19009,40,p|19009,60,p|19009,26,p|19009,54,p|19009,35,p|19009,57,p|19009,0,h5|19009,55,p|19009,44,p|19009,45,p|19009,47,p|19009,44,p|19009,73,p|19009,43,p|19009,52,p|19009,37,p|19009,50,p|19009,41,p|19009,45,p|19009,62,p|19009,65,p|19009,29,p|19009,76,p|19009,62,p|19009,48,p|19009,43,p|19009,33,p|19009,59,p|19009,55,p|19009,49,p|19009,78,p|19009,37,p|19009,48,p|19009,60,p|19009,44,p|19009,12,p|19009,65,p|19009,27,p|19009,39,p|19009,49,p|19009,66,p|19009,47,p|19009,42,p|19009,16,p|19009,52,p|19009,45,p|19009,49,p|19009,19,p|19009,59,p|19009,30,p|19009,72,p|19009,42,p|19009,33,p|19009,128,p|19009,18,p|19009,42,p|19009,53,p|19009,86,p|19034,190,p|19058,530,pre|19061,168,p|19063,9,div|19063,9,div|19074,141,dd|19074,33,dd|19080,3,dd|19108,39,pre|19108,85,p|19108,173,p|19133,101,dd|19137,363,p|19137,59,p|19141,2,span|19141,2,span|19141,2,span|19141,191,p|19147,335,p|19149,74,pre|19157,933,p|19166,57,p|19166,29,p|19166,10,p|19181,57,strong|19181,28,p|19181,10,p|19188,530,pre|19197,45,p|19197,0,h2|19204,28,dd|19204,30,dd|19211,0,p|19211,0,a|19218,530,pre|19237,26,p|19240,85,p|19241,242,p|19246,15,p|19246,126,p|19246,28,p|19246,95,p|19248,168,p|19249,415,p|19257,101,pre|19265,28,p|19265,3,span|19273,1,ul|19274,1,ul|19287,4,div|19343,61,p|19343,158,p|19386,7,strong|19400,36,li|19422,7,b|19422,51,p|19422,78,p|19426,151,div|19435,7,b|19435,51,p|19435,78,p|19444,81,p|19445,248,span|19450,0,p|19450,62,p|19450,11,p|19458,16,p|19458,63,p|19458,92,p|19458,134,p|19458,203,p|19460,67,p|19461,16,p|19463,0,p|19463,62,p|19463,11,p|19470,39,p|19479,16,p|19479,63,p|19479,92,p|19479,134,p|19479,203,p|19481,56,p|19481,2,p|19482,122,li|19627,798,div|19716,134,li|19717,134,li|19721,134,li|19724,134,li|19727,134,li|19733,134,li|19736,134,li|19763,554,span|19807,247,p|19877,401,p|19891,120,p|19914,199,p|19922,554,span|19964,120,p|20011,199,p|20023,554,span|20078,677,p|20126,55,p|20150,116,p|20212,199,p|20251,120,p|20305,199,p
keepsak 20078,694,p
keeptoken 18967,8,li|19108,35,p
kehmena 20047,1,p
keith 19393,19,a|19716,355,p|19716,369,p|19717,355,p|19717,369,p|19721,355,p|19721,369,p|19723,369,p|19724,355,p|19724,369,p|19725,369,p|19727,19,a|19733,355,p|19733,369,p|19736,19,a|19767,684,p|20095,94,p
keki 17508,282,p
kellermann 18967,88,li
kelli 17709,43,p|17709,43,p|17709,7,p|17709,7,p|17709,36,p|17787,42,p|17874,36,li|18674,0,li|19521,2,div|19521,19,div|19521,48,div|19560,2,div|19672,2,div|19685,2,div|19748,479,span|20029,26,li|20047,1,p|20134,189,li|20134,23,li|20134,15,li|20134,23,li|20134,0,li|20161,252,p|20189,22,p|20200,252,p
kellogg 18652,61,p
ken 19065,0,td|19560,75,div|19560,18,div|19660,75,div|19660,112,div|19660,159,div|19664,18,div|19664,21,div|19664,45,div|19668,75,div|19672,75,div|19672,18,div|19685,75,div|19685,18,div
kendal 17106,0,a|18557,0,a
kendaraan 19009,6,h5
kendrick 19756,46,p|19842,46,p|19987,79,p|20063,79,p|20200,79,p|20208,46,p|20283,46,p|20312,46,p
kennam 19234,6,a
kennedi 17998,5,p
kennel 17315,24,p|17315,123,p|17315,302,p|17315,0,p|17315,25,p
kenneth 19434,0,h5|19506,2,div|19597,2,div|19597,18,div|19597,41,div|19685,2,div
kenni 18925,633,li|19452,0,span|19482,0,strong
kent 17025,0,cite|17244,0,cite|17244,1,p|17584,0,a|17584,1,p|17683,2,p|18054,164,p|18252,0,cite|18252,1,p
kentucki 17959,114,a
kenya 16888,356,p
kenyon 19395,193,p
kep 17154,207,p|18060,61,p
kepp 18353,50,p
kept 16926,66,p|17032,465,p|17177,358,p|17193,161,p|17283,128,p|17290,391,p|17541,192,p|17557,502,p|17572,192,p|17575,265,p|17631,620,p|17710,130,p|17754,286,p|17787,264,p|17819,98,p|17843,161,p|17855,414,p|17867,192,p|17867,507,p|17874,269,p|18011,148,p|18041,161,p|18060,455,p|18458,192,p|18498,11,p|18644,110,span|18649,110,span|18673,989,p|18926,313,p|18967,7,li|18967,23,li|18995,73,p|19063,76,dd|19063,59,dd|19080,0,strong|19101,56,p|19102,20,p|19108,67,p|19197,131,p|19436,52,p|19627,749,div|19894,68,p|19978,68,p|20149,154,p|20155,68,p
ker 19485,63,div|19512,167,div|19519,32,div|19521,163,div|19531,15,div|19561,41,div|19683,63,div
kerala 16990,413,p|17391,27,p|17986,27,p|18217,54,p|18376,27,p|18619,128,p|19009,0,h5
keranen 19560,8,div|19560,29,div|19607,29,div|19607,30,div|19607,45,div|19672,8,div|19672,29,div|19685,8,div|19685,29,div|19691,8,div|19691,98,div|19691,120,div
kerim 18643,3,span|18643,46,a|18644,46,a|18645,0,span|18645,46,a|18647,46,a|18649,46,a|18650,46,a
kernal 19418,4,a
kernel 18638,69,p|18946,25,td|18964,25,td|19010,25,td|19038,59,pre|19043,0,a|19043,0,li|19107,16,p|19145,111,p|19159,25,td|19174,8,p|19174,91,p|19190,25,td|19228,142,p|19228,817,p|19228,581,p|19228,836,p|19228,449,p|19501,39,a|19576,39,a|19609,38,a|19610,139,td|19613,174,div|19613,441,div|19613,485,div|19617,494,div|19657,558,div|19657,1650,div|19662,39,div|19662,553,div|19662,754,div|19662,87,div|19662,53,div|19669,38,div|19669,334,div|19669,796,div|19669,951,div|19669,1038,div|19669,104,div|19669,52,div|19672,38,a|19685,39,a|19685,38,a
kerner 18652,10,p
kerningpair 18820,770,p|18820,770,div|18820,770,div|18892,770,p|18892,770,div|18892,770,div
kerri 17136,0,a|17136,30,p|17608,0,cite|17823,0,a|17823,30,p|18517,0,a|18517,30,p
keskar 18115,109,p|18115,143,p
ketchikan 17103,17,p|17522,65,p|18127,65,p
keval 16888,113,p|16888,309,p|17401,113,p|17435,113,p|17888,113,p
kevin 17112,73,p|19342,1,li|19342,1,li|19342,1,li|19422,15,li|19427,13,p|19427,32,p|19427,44,p|19427,27,p|19427,0,p|19427,13,p|19434,0,h5|19452,33,span|19841,643,span|19841,678,span|19841,805,span|20047,1,p|20124,94,p
key 16891,398,p|16891,518,p|16891,90,p|16942,241,p|16953,16,a|16955,10,p|16974,117,p|16983,89,p|16983,3,p|17003,195,p|17010,636,p|17018,241,p|17019,47,a|17045,241,p|17055,170,p|17058,241,p|17075,241,p|17079,16,a|17094,335,p|17102,302,p|17116,444,p|17123,121,p|17128,120,p|17131,207,p|17151,108,p|17163,532,p|17163,384,p|17166,195,p|17201,156,p|17208,21,p|17212,30,p|17221,20,p|17231,0,td|17231,0,td|17231,0,td|17231,0,td|17231,4,td|17231,0,td|17231,0,td|17245,84,p|17245,242,p|17253,145,p|17257,152,p|17272,21,p|17294,0,p|17294,0,p|17305,338,p|17309,147,p|17358,30,p|17358,80,p|17358,55,p|17358,90,p|17362,11,p|17378,53,p|17383,575,p|17389,16,title|17389,25,h1|17396,195,p|17398,241,p|17431,49,p|17448,249,p|17468,116,p|17488,241,p|17494,117,p|17513,17,a|17518,156,p|17550,30,p|17552,103,p|17557,274,p|17558,11,p|17558,290,p|17561,135,p|17574,1010,p|17587,49,p|17588,11,p|17600,100,p|17602,96,p|17607,99,p|17612,11,p|17619,98,div|17624,303,p|17629,147,p|17644,119,p|17664,236,p|17679,24,p|17687,135,p|17706,28,p|17709,137,p|17709,81,p|17720,63,p|17730,89,p|17752,84,p|17758,48,p|17766,103,p|17799,20,p|17822,16,a|17825,249,p|17826,11,p|17832,84,p|17832,242,p|17834,242,p|17842,84,p|17869,12,a|17880,104,p|17881,117,p|17886,775,p|17891,49,p|17899,238,p|17913,236,p|17914,278,p|17958,7,p|17972,105,p|17976,238,p|17988,11,p|18001,241,p|18014,135,p|18022,120,p|18027,147,p|18031,90,p|18036,84,p|18038,10,p|18048,94,p|18060,122,p|18086,108,p|18116,144,p|18137,30,p|18170,11,p|18188,539,p|18190,196,p|18205,675,p|18246,145,p|18250,11,p|18254,2,li|18289,238,p|18289,53,p|18311,30,p|18321,214,p|18331,156,p|18346,11,p|18353,293,p|18357,648,p|18407,49,p|18408,241,p|18408,248,p|18409,156,p|18428,236,p|18449,449,p|18453,199,p|18454,34,p|18473,729,p|18473,53,p|18476,13,p|18477,214,p|18493,90,p|18505,10,p|18505,204,p|18511,321,p|18522,12,a|18526,354,p|18527,10,p|18530,539,p|18559,11,p|18569,120,p|18576,104,p|18582,66,p|18582,228,p|18600,46,p|18626,17,body|18626,40,body|18626,76,body|18627,4,p|18635,75,p|18669,15,li|18673,484,p|18676,95,p|18676,92,p|18676,310,p|18677,7,a|18677,7,a|18677,7,a|18677,7,a|18679,7,a|18679,7,a|18679,7,a|18679,7,a|18700,113,p|18712,0,h4|18715,0,h4|18728,15,p|18737,0,h4|18772,0,h4|18804,0,h4|18813,0,h4|18884,50,p|18884,0,h4|18897,0,h4|18898,113,p|18905,19,p|18906,0,p|18909,173,p|18911,129,p|18914,137,p|18945,7,a|18947,80,p|18967,11,li|18967,21,li|18972,7,p|18972,17,a|18972,201,p|18972,259,p|18972,13,h2|18972,7,p|18972,49,p|18972,58,li|18972,45,li|18972,81,li|18972,61,li|18972,43,li|18972,53,li|18972,44,li|18972,42,li|18972,159,li|18972,91,p|18972,223,p|18972,389,p|18972,7,h2|18972,56,p|18972,290,p|18972,0,th|18972,0,th|18972,14,p|18972,45,p|18972,67,p|18972,22,h2|18972,7,li|18972,7,li|18972,67,p|18972,114,p|18972,12,th|18972,7,li|18972,20,h2|18972,61,p|18972,127,p|18972,121,p|18972,61,p|18972,28,p|18972,26,h2|18972,7,p|18972,121,p|18972,151,p|18972,61,p|18972,19,p|18972,192,p|18972,224,p|18972,61,p|18972,19,a|18982,127,dd|18985,7,p|18987,59,p|18987,28,pre|18987,118,p|18987,97,p|18988,0,h2|19006,5,a|19006,0,em|19009,18,h5|19009,9,h5|19009,15,h5|19009,9,h5|19014,29,p|19030,7,a|19039,54,dd|19046,34,li|19047,1,code|19047,0,em|19047,0,code|19058,7,a|19058,12,pre|19058,107,pre|19063,0,em|19063,0,em|19079,38,dd|19079,38,dd|19084,1,code|19084,0,em|19084,0,code|19088,26,li|19100,16,li|19100,37,li|19105,77,p|19106,23,span|19108,4,p|19133,0,em|19133,0,em|19133,7,dd|19143,7,p|19146,7,a|19146,19,li|19146,55,li|19148,24,li|19164,7,a|19164,7,a|19188,7,a|19188,12,pre|19188,107,pre|19197,0,p|19207,50,span|19207,34,li|19218,7,a|19218,12,pre|19218,107,pre|19228,66,p|19236,4,div|19236,49,dd|19236,10,div|19236,114,div|19247,7,a|19247,7,a|19257,2,p|19264,20,dd|19283,481,p|19283,91,p|19283,127,p|19283,198,p|19283,242,p|19283,260,p|19283,340,p|19284,14,em|19284,17,em|19291,5,span|19291,18,b|19291,31,span|19304,89,div|19308,82,p|19308,211,pre|19312,39,span|19312,15,span|19317,15,i|19317,47,b|19317,33,i|19317,68,b|19317,20,i|19317,18,b|19317,105,b|19317,22,i|19317,44,i|19317,0,i|19317,26,i|19317,10,b|19317,57,b|19317,30,i|19317,10,b|19317,57,b|19317,28,i|19317,73,b|19320,197,pre|19320,595,pre|19320,768,pre|19320,119,pre|19320,1042,pre|19321,105,i|19326,19,p|19326,47,em|19326,45,em|19326,47,em|19326,0,p|19326,53,i|19326,0,i|19326,47,i|19326,0,i|19326,31,p|19326,6,i|19329,36,p|19329,6,li|19329,47,em|19329,6,li|19329,0,i|19329,6,li|19329,12,li|19329,39,i|19329,6,li|19331,14,p|19334,20,p|19334,20,p|19335,52,span|19335,15,span|19402,124,li|19402,32,li|19402,189,li|19415,31,li|19416,62,p|19426,92,div|19433,41,p|19439,7,p|19444,6,p|19448,71,span|19450,41,p|19450,12,p|19450,29,p|19450,25,p|19450,72,p|19450,17,p|19450,100,p|19450,28,p|19450,27,p|19450,29,p|19463,41,p|19463,12,p|19463,29,p|19463,25,p|19463,72,p|19463,17,p|19463,100,p|19463,28,p|19463,27,p|19463,29,p|19485,264,div|19490,431,div|19490,848,div|19515,590,div|19535,1204,div|19610,457,td|19610,72,td|19610,58,td|19628,252,div|19656,26,td|19660,92,div|19678,910,div|19689,643,div|19694,37,div|19701,287,td|19701,31,td|19750,404,p|19765,394,p|19820,394,p|19879,97,p|19962,140,p|20091,190,p|20104,190,p|20190,190,p
keyb 19284,58,a
