스나이퍼 53592,9115
스태미나 26312,2053|26312,2120|26312,3325|26312,3393|26312,3879|26312,3947|26312,6828|26312,6891|26312,7756|26312,8238|26312,9815|26312,9944|26312,10068|26312,12061|26312,14609|26312,16377|26312,16438|26312,16726|26312,16796|26312,16902|26312,16963|26312,17269|26312,17339|26312,19040|26312,19102|26312,19863|26312,20467|26312,20530|26312,24324|26312,26249|26312,26317|26312,26874|26312,28531|26312,28595|26312,28769|26312,30213|26312,30323|26312,32812|26312,32875|26312,33164|26312,33339|26312,33403|26312,34052|26312,34116|26312,35494|26312,35566|26312,35672|29333,1955|29333,2024|29333,2462|29333,3204|29333,3708|29333,6116|29333,6179|29333,8357|29333,8483|29333,10198|29333,12355|29333,13037|29333,14200|29333,14261|29333,14518|29333,14655|29333,14994|29333,16424|29333,16486|29333,17306|29333,17719|29333,17855|29333,21286|29333,23719|29333,25307|29333,25374|29333,25546|29333,26829|29333,29025|29333,29351|29333,29495|29333,30173|29333,31761|29353,2057|29353,2128|29353,2628|29353,3384|29353,3450|29353,3932|29353,6488|29353,6549|29353,8393|29353,8548|29353,10282|29353,12479|29353,13103|29353,14143|29353,14476|29353,14610|29353,14943|29353,16519|29353,16579|29353,17386|29353,17835|29353,17979|29353,21285|29353,21354|29353,23679|29353,25271|29353,25332|29353,25505|29353,26815|29353,26917|29353,29016|29353,29355|29353,29522|29353,29586|29353,30188|29353,30252|29353,31545|30024,36402|35698,1594|35698,2118|35698,2186|35698,3471|35698,3962|35698,6491|35698,6553|35698,8529|35698,8691|35698,10221|35698,12631|35698,14189|35698,14527|35698,14660|35698,15041|35698,16547|35698,16608|35698,17376|35698,17914|35698,21428|35698,23738|35698,25361|35698,25422|35698,25595|35698,26944|35698,29210|35698,29562|35698,29708|35698,30371|35698,31824|35698,32057|41496,899|41496,968|41496,1869|41496,2538|41496,2578|41496,2778|41496,6881|41496,6955|41496,7029|41496,7442|41496,7708|41496,30889|44611,1464|44611,1473|44611,1536|44611,1554|44611,1585|44611,1622|44611,1692|44611,1731|44611,1787|44611,1894|44611,1955|44611,1974|44611,1983|44611,2020|44611,2071|44611,2108|44611,2147|44611,2169|44611,2187|44611,2297|44611,2348|44611,2376|44611,2412|44611,2465|44611,2474|44611,2499|44611,2508|44611,2517|44611,2526|44611,2535|44611,2585|44611,2623|44611,2668|44611,2781|44611,2808|44611,2919|44611,3000|44611,3022|44611,3150|44611,4599|44611,5021|47905,7206|47905,7351|47905,7420|47905,7653|47905,7675|47905,7712|47905,7767|47905,7823|47905,7881|47905,7935|47905,9356|48373,2279|48373,2332|48373,2420|48373,2467|48373,2532|48373,5119|48373,5182|48373,5288|48373,5347|48373,9031|49617,510|49617,2102|49617,2169|49617,2700|49617,3465|49617,6128|49617,6189|49617,7765|49617,9586|49617,12074|49617,12663|49617,13692|49617,14044|49617,14222|49617,14281|49617,14550|49617,16068|49617,16128|49617,16968|49617,17457|49617,17518|49617,17585|49617,20826|49617,20895|49617,23272|49617,24824|49617,24885|49617,25059|49617,26359|49617,28594|49617,28655|49617,28916|49617,29098|49617,29168|49617,29782|49617,31142|49617,31210
스태미나max 41496,1766|41496,2619
스태미나가 23818,204|30024,37318|30377,28738|39339,146|41496,909|41496,978|46577,135
스태미나는 39676,31917
스태미나도 36224,32344
스태미나를 21985,36010
스태미나무한 37895,1528|37895,1597
스태미나와 45690,20780
스태미나의 44611,4709|47905,7969
스태미너 41496,2710|44611,3479|44611,3535|44611,5253|47905,7280|47905,9396
스태미너가 28478,21077|41496,2656
스태미너를 47905,7753|47905,7809|47905,7867|47905,7921
스태미너의 27609,154|27609,214|44611,3055|47905,8010|47905,8057|47905,8103
스탠 39242,11862
스턴시킨다 39242,11995
스턴중 30024,38451
스테이크고기 44611,714
스테이터스 39242,3123|39242,3289|39242,3736|44611,303|47905,47
스테이터스260 39242,3219
스테이터스표를 39242,2770|39242,3351
스텝 21985,35215|21985,37181|45690,20235|45690,21696
스텝도 21985,36147
스텝등에 45690,20572
스텝에 45690,20050
스텝에는 21985,35019|21985,36294
스텝으로 21985,34860|45690,24050
스텝은 21985,34947|45690,21647|45690,21729
스텝을 21985,36214|45690,21596|45690,21676
스텝의 21985,36789
스텝이나 45690,23058
스텝중에 45690,19933
스텝후에 21985,34881
스트라이더 53592,9272
스트라이프드래곤 37895,6130|48576,13886|48576,14038
스트라이프스트라이크 30024,24267|30024,24407
스트러티지 24394,1403
스트레인저 53592,8538
스틱 24394,34604|28478,21196|30024,36204|52371,26086
스틱방향 24394,35981|24394,36032|24394,36064|24394,36120
스틱을 21985,34903|48576,25227
스틸 42049,1088
스틸s메일 29333,12990
스틸s벨트 49617,12606
스틸s암 29353,13047
스틸u메일 29333,17808
스틸u벨트 49617,17527
스틸u암 29353,17922
스틸건랜스 45690,4554
스틸랜스 21985,727
스틸메일 29333,2374
스틸벨트 49617,2587
스틸암 29353,2517
스파르타커스블레이드 24394,10595
스파르타커스블레이즈 27368,13703
스파르타커스파이어 27368,6033
스파이크스피어 21985,7813
스파이크스피어g 21985,28750
스파이크해머 30024,8825
스파이크해머g 30024,29821
스파이크해머改 30024,8962
스파이크해머改으로부터 48576,10976
스파크플러그 21985,3758
스포르트드 37895,4606|48576,5560
스피드가 47905,6581
