ya 4738,21,p|4784,21,p|5017,0,p
ye 1325,7,div|1335,2,p|1335,2,p|1335,2,p|1335,2,p|1335,2,p|1335,2,p|1335,2,p|1339,2,p|1339,2,p|1339,2,p|1339,2,p|1339,2,p|1339,2,p|1339,2,p|1356,7,div|1402,7,div|1429,7,div|1432,2,p|1432,2,p|1432,2,p|1432,2,p|1432,2,p|1432,2,p|1432,2,p|1439,2,p|1439,2,p|1439,2,p|1439,2,p|1439,2,p|1439,2,p|1439,2,p|1440,7,div|1553,2,p|1553,2,p|1553,2,p|1553,2,p|1553,2,p|1553,2,p|1553,2,p|1570,2,p|1570,2,p|1570,2,p|1570,2,p|1570,2,p|1570,2,p|1570,2,p|1594,2,p|1594,2,p|1594,2,p|1594,2,p|1594,2,p|1594,2,p|1594,2,p|1601,2,p|1601,2,p|1601,2,p|1601,2,p|1601,2,p|1601,2,p|1601,2,p|1612,74,p|1612,85,p|1612,89,p|1612,121,p|1612,109,p|1612,61,p|1612,76,p|1616,2,p|1616,2,p|1616,2,p|1616,2,p|1616,2,p|1616,2,p|1616,2,p|1641,2,p|1641,2,p|1641,2,p|1641,2,p|1641,2,p|1641,2,p|1641,2,p|1696,2,p|1696,2,p|1696,2,p|1696,2,p|1696,2,p|1696,2,p|1696,2,p|1766,7,div|1806,2,p|1806,2,p|1806,2,p|1806,2,p|1806,2,p|1806,2,p|1806,2,p|1858,7,div|1880,2,p|1880,2,p|1880,2,p|1880,2,p|1880,2,p|1880,2,p|1880,2,p|1883,7,div|1886,2,p|1886,2,p|1886,2,p|1886,2,p|1886,2,p|1886,2,p|1886,2,p|1944,7,div|1956,7,div|1976,7,div|2010,7,div|2044,7,div|2076,7,div|2080,7,div|2174,2,p|2174,2,p|2174,2,p|2174,2,p|2174,2,p|2174,2,p|2174,2,p|2246,2,p|2246,2,p|2246,2,p|2246,2,p|2246,2,p|2246,2,p|2246,2,p|2247,7,div|2253,7,div|2270,7,div|2274,2,p|2274,2,p|2274,2,p|2274,2,p|2274,2,p|2274,2,p|2274,2,p|2310,7,div|2311,7,div|2314,7,div|2447,7,div|2453,1,p|2453,1,p|2453,1,p|2453,1,p|2453,1,p|2453,1,p|2453,1,p|2547,7,div|2686,7,div|2713,7,div|2715,7,div|2856,7,div|2865,2,p|2865,2,p|2865,2,p|2865,2,p|2865,2,p|2865,2,p|2865,2,p|2921,7,div|2992,2,p|2992,2,p|2992,2,p|2992,2,p|2992,2,p|2992,2,p|2992,2,p|3070,7,div|3080,2,p|3080,2,p|3080,2,p|3080,2,p|3080,2,p|3080,2,p|3080,2,p|3148,2,p|3148,2,p|3148,2,p|3148,2,p|3148,2,p|3148,2,p|3148,2,p|3154,2,p|3154,2,p|3154,2,p|3154,2,p|3154,2,p|3154,2,p|3154,2,p|3186,7,div|3218,74,p|3218,85,p|3218,89,p|3218,121,p|3218,109,p|3218,61,p|3218,76,p|3243,2,p|3243,2,p|3243,2,p|3243,2,p|3243,2,p|3243,2,p|3243,2,p|3248,2,p|3248,2,p|3248,2,p|3248,2,p|3248,2,p|3248,2,p|3248,2,p|3254,74,p|3254,85,p|3254,89,p|3254,121,p|3254,109,p|3254,61,p|3254,76,p|3305,7,div|3358,7,div|3430,2,p|3430,2,p|3430,2,p|3430,2,p|3430,2,p|3430,2,p|3430,2,p|3441,2,p|3441,2,p|3441,2,p|3441,2,p|3441,2,p|3441,2,p|3441,2,p|3460,7,div|3558,2,p|3558,2,p|3558,2,p|3558,2,p|3558,2,p|3558,2,p|3558,2,p|3594,2,p|3594,2,p|3594,2,p|3594,2,p|3594,2,p|3594,2,p|3594,2,p|3631,7,div|3695,2,p|3695,2,p|3695,2,p|3695,2,p|3695,2,p|3695,2,p|3695,2,p|3716,2,p|3716,2,p|3716,2,p|3716,2,p|3716,2,p|3716,2,p|3716,2,p|3771,2,p|3771,2,p|3771,2,p|3771,2,p|3771,2,p|3771,2,p|3771,2,p|3778,7,div|3810,7,div|3843,2,p|3843,2,p|3843,2,p|3843,2,p|3843,2,p|3843,2,p|3843,2,p|3958,2,p|3958,2,p|3958,2,p|3958,2,p|3958,2,p|3958,2,p|3958,2,p|4017,7,div|4039,2,p|4039,2,p|4039,2,p|4039,2,p|4039,2,p|4039,2,p|4039,2,p|4060,7,div|4064,7,div|4169,2,p|4169,2,p|4169,2,p|4169,2,p|4169,2,p|4169,2,p|4169,2,p|4192,7,div|4205,7,div|4244,2,p|4244,2,p|4244,2,p|4244,2,p|4244,2,p|4244,2,p|4244,2,p|4304,2,p|4304,2,p|4304,2,p|4304,2,p|4304,2,p|4304,2,p|4304,2,p|4374,0,supportskeywords|4374,0,supportsgettags|4512,0,supportskeywords|4512,0,supportsgettags|4792,0,supportskeywords|4792,0,supportsgettags|4803,0,supportskeywords|4803,0,supportsgettags|4805,0,p|4805,1,p|4904,0,supportskeywords|4904,0,supportsgettags|4968,0,supportskeywords|4968,0,supportsgettags|5033,0,supportskeywords|5033,0,supportsgettags
year 4340,106,p|4340,121,p|4363,30,span|4370,24,strong|4370,15,a|4373,389,div|4377,36,h5|4377,33,h5|4378,193,p|4422,75,p|4422,339,p|4431,135,p|4431,181,p|4431,114,p|4431,93,p|4431,89,p|4431,234,p|4431,188,p|4431,202,p|4431,223,p|4433,65,p|4433,298,p|4433,50,p|4433,93,p|4433,390,p|4436,202,p|4436,223,p|4436,102,p|4436,120,p|4438,171,p|4438,411,p|4442,75,p|4442,339,p|4442,127,p|4442,244,p|4442,233,p|4443,343,p|4443,266,p|4448,266,p|4448,23,a|4449,102,p|4450,89,p|4452,127,p|4452,244,p|4454,357,p|4454,134,p|4454,155,p|4456,266,p|4456,23,a|4457,75,p|4457,339,p|4457,127,p|4457,244,p|4457,233,p|4458,127,p|4458,244,p|4458,233,p|4458,357,p|4460,127,p|4460,244,p|4460,233,p|4460,357,p|4463,266,p|4464,298,p|4465,399,p|4466,202,p|4466,223,p|4466,202,p|4466,223,p|4466,102,p|4466,120,p|4468,357,p|4468,134,p|4468,155,p|4469,772,div|4470,10,a|4471,65,p|4471,298,p|4471,50,p|4471,93,p|4471,390,p|4472,343,p|4475,377,div|4475,153,div|4483,75,p|4483,339,p|4484,135,p|4484,181,p|4484,114,p|4484,93,p|4484,89,p|4484,234,p|4484,188,p|4484,202,p|4484,223,p|4485,202,p|4485,223,p|4487,134,p|4487,155,p|4487,135,p|4487,181,p|4487,114,p|4487,93,p|4487,89,p|4487,234,p|4487,188,p|4491,202,p|4491,223,p|4492,343,p|4492,266,p|4493,427,p|4493,427,p|4494,427,p|4494,427,p|4497,156,p|4497,241,div|4498,390,p|4498,266,p|4503,772,div|4505,135,p|4505,181,p|4505,114,p|4505,93,p|4505,89,p|4505,234,p|4505,188,p|4505,202,p|4505,223,p|4506,357,p|4506,134,p|4506,155,p|4507,266,p|4507,23,a|4509,390,p|4509,266,p|4510,343,p|4510,266,p|4513,390,p|4513,266,p|4514,65,p|4514,298,p|4514,50,p|4514,93,p|4514,390,p|4515,65,p|4515,298,p|4515,50,p|4515,93,p|4515,390,p|4517,156,p|4517,241,div|4518,202,p|4518,223,p|4520,134,p|4520,155,p|4520,135,p|4520,181,p|4520,114,p|4520,93,p|4520,89,p|4520,234,p|4520,188,p|4521,75,p|4521,339,p|4525,10,a|4528,120,p|4530,134,p|4530,155,p|4530,135,p|4530,181,p|4530,114,p|4530,93,p|4530,89,p|4530,234,p|4530,188,p|4532,202,p|4532,223,p|4532,202,p|4532,223,p|4532,102,p|4532,120,p|4534,202,p|4534,223,p|4535,27,p|4535,468,p|4536,134,p|4536,155,p|4539,75,p|4539,339,p|4539,127,p|4539,244,p|4539,233,p|4541,152,p|4541,284,p|4541,344,p|4541,431,p|4543,377,div|4543,153,div|4544,188,p|4545,24,a|4548,266,p|4548,23,a|4549,357,p|4550,152,p|4550,284,p|4550,344,p|4550,431,p|4550,10,div|4550,377,div|4550,153,div|4550,427,p|4550,427,p|4550,156,p|4550,241,div|4550,171,p|4550,411,p|4551,132,p|4551,324,p|4553,27,p|4553,468,p|4553,772,div|4553,399,br|4553,132,p|4553,324,p|4553,69,div|4553,173,div|4555,10,div|4558,171,p|4558,411,p|4559,390,p|4561,266,p|4561,23,a|4563,399,p|4566,135,p|4566,181,p|4566,114,p|4566,93,p|4566,89,p|4566,234,p|4566,188,p|4566,202,p|4566,223,p|4567,75,p|4570,127,p|4570,244,p|4570,233,p|4570,357,p|4571,266,p|4571,23,a|4572,202,p|4572,223,p|4572,202,p|4572,223,p|4572,102,p|4572,120,p|4573,10,div|4575,132,p|4575,324,p|4576,339,p|4578,69,div|4578,173,div|4579,10,a|4587,343,p|4587,266,p|4590,266,p|4590,23,a|4592,233,p|4594,202,p|4594,223,p|4594,202,p|4594,223,p|4594,102,p|4594,120,p|4595,127,p|4595,244,p|4595,233,p|4595,357,p|4596,23,title|4596,23,h1|4599,10,a|4600,27,p|4600,468,p|4602,202,p|4602,223,p|4602,102,p|4602,120,p|4603,357,p|4603,134,p|4603,155,p|4604,69,div|4604,173,div|4607,202,p|4607,223,p|4607,102,p|4607,120,p|4608,134,p|4608,155,p|4610,266,p|4610,23,a|4611,50,p|4611,93,p|4612,390,p|4612,266,p|4616,266,p|4618,75,p|4618,339,p|4621,202,p|4621,223,p|4621,102,p|4621,120,p|4622,134,p|4622,155,p|4622,135,p|4622,181,p|4622,114,p|4622,93,p|4622,89,p|4622,234,p|4622,188,p|4625,23,a|4626,234,p|4628,65,p|4629,75,p|4629,339,p|4629,127,p|4629,244,p|4629,233,p|4630,135,p|4630,181,p|4630,114,p|4630,93,p|4631,10,a|4632,152,p|4632,284,p|4632,344,p|4632,431,p|4639,195,p|4653,35,p|4678,76,div|4701,35,p|4727,149,p|4727,181,p|4730,346,p|4731,9,p|4733,542,p|4742,301,div|4742,851,div|4745,421,p|4745,460,p|4746,346,p|4752,84,p|4756,14,span|4756,10,a|4756,169,p|4756,542,p|4764,17,p|4764,248,p|4767,17,p|4784,17,p|4784,421,p|4784,460,p|4785,14,span|4785,10,a|4785,169,p|4791,14,span|4791,10,a|4791,169,p|4791,84,p|4794,10,title|4794,10,h1|4794,170,p|4812,10,td|4812,38,td|4816,117,p|4816,75,p|4816,80,p|4816,315,p|4817,6,p|4820,76,p|4823,30,p|4830,2,div|4830,2,div|4830,2,div|4830,2,div|4830,2,div|4830,2,div|4830,2,div|4830,2,div|4830,2,div|4830,2,div|4830,2,div|4830,2,div|4830,2,div|4830,2,div|4830,2,div|4830,2,div|4830,2,div|4830,2,div|4830,2,div|4830,2,div|4830,2,div|4830,2,div|4830,2,div|4830,2,div|4830,2,div|4830,2,div|4830,2,div|4830,2,div|4830,2,div|4830,2,div|4830,2,div|4830,2,div|4830,2,div|4830,2,div|4830,2,div|4830,2,div|4830,2,div|4830,2,div|4830,2,div|4830,2,div|4830,2,div|4830,2,div|4830,2,div|4830,2,div|4830,2,div|4830,2,div|4830,2,div|4830,2,div|4830,2,div|4830,2,div|4837,2,div|4837,2,div|4837,2,div|4837,2,div|4837,2,div|4837,2,div|4843,2,div|4843,2,div|4843,2,div|4843,2,div|4843,2,div|4843,2,div|4843,2,div|4843,2,div|4843,2,div|4843,2,div|4843,2,div|4843,2,div|4843,2,div|4843,2,div|4843,2,div|4843,2,div|4843,2,div|4843,2,div|4843,2,div|4843,2,div|4843,2,div|4843,2,div|4843,2,div|4843,2,div|4843,2,div|4843,2,div|4843,2,div|4843,2,div|4843,2,div|4843,2,div|4843,2,div|4843,2,div|4843,2,div|4843,2,div|4843,2,div|4843,2,div|4843,2,div|4843,2,div|4843,2,div|4843,2,div|4843,2,div|4843,2,div|4843,2,div|4843,2,div|4843,2,div|4843,2,div|4843,2,div|4843,2,div|4843,2,div|4843,2,div|4851,2,div|4851,2,div|4851,2,div|4851,2,div|4852,2,div|4852,2,div|4852,2,div|4852,2,div|4852,2,div|4852,2,div|4852,2,div|4852,2,div|4852,2,div|4852,2,div|4852,2,div|4852,2,div|4852,2,div|4852,2,div|4852,2,div|4852,2,div|4852,2,div|4852,2,div|4852,2,div|4852,2,div|4852,2,div|4852,2,div|4852,2,div|4852,2,div|4852,2,div|4852,2,div|4852,2,div|4852,2,div|4852,2,div|4852,2,div|4852,2,div|4852,2,div|4852,2,div|4852,2,div|4852,2,div|4852,2,div|4852,2,div|4852,2,div|4852,2,div|4852,2,div|4852,2,div|4852,2,div|4852,2,div|4852,2,div|4852,2,div|4852,2,div|4852,2,div|4852,2,div|4852,2,div|4852,2,div|4855,2,div|4855,2,div|4855,2,div|4855,2,div|4855,2,div|4857,2,div|4857,2,div|4857,2,div|4857,2,div|4857,2,div|4857,2,div|4861,2,div|4865,2,div|4865,2,div|4865,2,div|4865,2,div|4865,2,div|4865,2,div|4865,2,div|4865,2,div|4865,2,div|4865,2,div|4865,2,div|4865,2,div|4865,2,div|4865,2,div|4865,2,div|4865,2,div|4865,2,div|4865,2,div|4865,2,div|4865,2,div|4865,2,div|4865,2,div|4865,2,div|4865,2,div|4865,2,div|4865,2,div|4865,2,div|4865,2,div|4865,2,div|4865,2,div|4865,2,div|4865,2,div|4865,2,div|4865,2,div|4865,2,div|4865,2,div|4865,2,div|4865,2,div|4865,2,div|4865,2,div|4865,2,div|4865,2,div|4865,2,div|4865,2,div|4865,2,div|4865,2,div|4865,2,div|4865,2,div|4865,2,div|4865,2,div|4873,2,div|4873,2,div|4873,2,div|4873,2,div|4873,2,div|4873,2,div|4873,2,div|4873,2,div|4873,2,div|4873,2,div|4873,2,div|4873,2,div|4873,2,div|4873,2,div|4873,2,div|4873,2,div|4873,2,div|4873,2,div|4873,2,div|4873,2,div|4873,2,div|4873,2,div|4873,2,div|4873,2,div|4873,2,div|4873,2,div|4873,2,div|4873,2,div|4873,2,div|4873,2,div|4873,2,div|4873,2,div|4873,2,div|4873,2,div|4873,2,div|4873,2,div|4873,2,div|4873,2,div|4873,2,div|4873,2,div|4873,2,div|4873,2,div|4873,2,div|4873,2,div|4873,2,div|4873,2,div|4873,2,div|4873,2,div|4873,2,div|4873,2,div|4874,16,title|4874,16,h1|4878,16,a|4879,16,span|4882,2,div|4882,2,div|4882,2,div|4882,2,div|4882,2,div|4882,2,div|4882,2,div|4882,2,div|4882,2,div|4882,2,div|4882,2,div|4882,2,div|4882,2,div|4882,2,div|4882,2,div|4882,2,div|4882,2,div|4882,2,div|4882,2,div|4882,2,div|4882,2,div|4882,2,div|4882,2,div|4882,2,div|4882,2,div|4882,2,div|4882,2,div|4882,2,div|4882,2,div|4882,2,div|4882,2,div|4882,2,div|4882,2,div|4882,2,div|4882,2,div|4882,2,div|4882,2,div|4882,2,div|4882,2,div|4882,2,div|4882,2,div|4882,2,div|4882,2,div|4882,2,div|4882,2,div|4882,2,div|4882,2,div|4882,2,div|4882,2,div|4882,2,div|4884,16,span|4885,2,div|4889,2,div|4889,2,div|4889,2,div|4889,2,div|4889,2,div|4889,2,div|4889,2,div|4892,2,div|4892,2,div|4892,2,div|4892,2,div|4892,2,div|4892,2,div|4892,2,div|4892,2,div|4892,2,div|4892,2,div|4892,2,div|4892,2,div|4892,2,div|4892,2,div|4892,2,div|4892,2,div|4892,2,div|4892,2,div|4892,2,div|4892,2,div|4892,2,div|4892,2,div|4892,2,div|4892,2,div|4892,2,div|4892,2,div|4892,2,div|4892,2,div|4892,2,div|4892,2,div|4892,2,div|4892,2,div|4892,2,div|4892,2,div|4892,2,div|4892,2,div|4892,2,div|4892,2,div|4892,2,div|4893,2,div|4893,2,div|4893,2,div|4893,2,div|4893,2,div|4893,2,div|4893,2,div|4893,2,div|4893,2,div|4893,2,div|4893,2,div|4893,2,div|4893,2,div|4893,2,div|4893,2,div|4893,2,div|4893,2,div|4893,2,div|4893,2,div|4893,2,div|4893,2,div|4893,2,div|4893,2,div|4893,2,div|4893,2,div|4893,2,div|4893,2,div|4893,2,div|4893,2,div|4893,2,div|4893,2,div|4893,2,div|4893,2,div|4893,2,div|4893,2,div|4893,2,div|4893,2,div|4893,2,div|4893,2,div|4893,2,div|4893,2,div|4893,2,div|4893,2,div|4893,2,div|4893,2,div|4893,2,div|4893,2,div|4893,2,div|4893,2,div|4893,2,div|4896,2,div|4896,2,div|4896,2,div|4900,2,div|4900,2,div|4900,2,div|4900,2,div|4900,2,div|4900,2,div|4900,2,div|4900,2,div|4900,2,div|4900,2,div|4900,2,div|4900,2,div|4900,2,div|4900,2,div|4900,2,div|4900,2,div|4900,2,div|4900,2,div|4900,2,div|4900,2,div|4900,2,div|4900,2,div|4900,2,div|4900,2,div|4900,2,div|4900,2,div|4900,2,div|4900,2,div|4900,2,div|4900,2,div|4900,2,div|4900,2,div|4900,2,div|4900,2,div|4900,2,div|4900,2,div|4900,2,div|4900,2,div|4900,2,div|4900,2,div|4900,2,div|4900,2,div|4900,2,div|4900,2,div|4900,2,div|4900,2,div|4900,2,div|4900,2,div|4900,2,div|4900,2,div|4901,2,div|4901,2,div|4901,2,div|4901,2,div|4901,2,div|4901,2,div|4901,2,div|4901,2,div|4901,2,div|4901,2,div|4901,2,div|4901,2,div|4901,2,div|4901,2,div|4901,2,div|4901,2,div|4901,2,div|4901,2,div|4901,2,div|4901,2,div|4901,2,div|4901,2,div|4901,2,div|4901,2,div|4901,2,div|4901,2,div|4901,2,div|4901,2,div|4901,2,div|4901,2,div|4901,2,div|4901,2,div|4901,2,div|4901,2,div|4901,2,div|4901,2,div|4901,2,div|4901,2,div|4901,2,div|4901,2,div|4901,2,div|4901,2,div|4901,2,div|4901,2,div|4901,2,div|4901,2,div|4901,2,div|4901,2,div|4901,2,div|4901,2,div|4952,54,p|4981,157,p|4999,173,p|5002,906,p|5002,1401,p|5002,734,p|5002,1547,p|5002,738,p|5002,910,p|5002,1240,p|5002,822,p|5002,787,p|5002,1072,p|5002,1191,p|5002,1202,p|5016,28,p|5021,31,p|5022,154,p|5022,43,p|5025,18,p|5307,179,pre
yearli 4382,0,h1|4400,0,h1|4414,0,h1|4417,0,h1|4419,0,h1|4814,82,td
yeast 2442,35,title|2442,35,h1|3703,1,a|4666,0,a|4666,0,p|4695,20,span|4939,20,span|4944,22,li
yee 2076,6,td|2310,6,td|3631,6,td
yeeleng 1335,22,p|1339,22,p|1432,22,p|1439,22,p|1553,22,p|1570,22,p|1594,22,p|1601,22,p|1612,125,p|1616,22,p|1641,22,p|1696,22,p|1806,22,p|1880,22,p|1886,22,p|2174,22,p|2246,22,p|2274,22,p|2453,21,p|2865,22,p|2992,22,p|3080,22,p|3148,22,p|3218,125,p|3248,22,p|3254,125,p|3430,22,p|3441,22,p|3558,22,p|3594,22,p|3716,22,p|3771,22,p|3843,22,p|3958,22,p|4039,22,p|4169,22,p|4244,22,p|4304,22,p
yeh 4812,6,strong|4812,6,a
yehk 4812,35,td
yelena 4359,56,p
yellow 4666,7253,p|4666,8165,p|4666,8882,p|4666,9597,p|4666,10309,p|4666,14589,p|4666,15237,p|4666,11263,p|4666,11951,p|4666,13450,p|4666,287,p|4798,147,p|5002,1030,p
yelp 1356,43,div|1429,55,div|1440,43,div|1766,74,div|1858,74,div|1883,74,div|1944,74,div|1956,74,div|1976,43,div|2010,74,div|2044,74,div|2076,74,div|2080,74,div|2247,43,div|2253,43,div|2270,43,div|2310,74,div|2311,74,div|2314,43,div|2447,74,div|2547,74,div|2686,74,div|2713,43,div|2856,74,div|2921,55,div|3070,74,div|3186,31,div|3305,43,div|3358,43,div|3460,74,div|3631,74,div|3778,43,div|3810,43,div|4060,74,div|4064,55,div|4192,43,div|4205,55,div|4459,881,div|4486,881,div|4550,881,div
yeo 2599,1,a|4329,29,title|4329,29,h1
