u0041 16929,4955|16929,5314
uberjar 16946,7392753|16946,7392844|16946,7392939|16946,7393041|16946,12858889|16946,12859009|16946,12859138|16946,12859274|16946,12859417|16946,12859547|16946,12859684|16946,12859828|16946,12859954|16946,12860087|16946,12860227|16946,12860356|16946,12860492|16946,12860635|16946,12860765|16946,12860902|16946,12861046|16946,12861182|16946,12861325|16946,12861475|16946,12861610|16946,12861752|16946,12861901|16946,12862030|16946,12862166|16946,12862309|16946,12862438|16946,12862574|16946,12862717|16946,12862846|16946,12862982|16946,12863125|16946,12863251|16946,12863384|16946,12863524|16946,12863650|16946,12863783|16946,12863923|16946,12864049|16946,12864182|16946,12864322|16946,12864457|16946,12864599|16946,12864748|16946,12864874|16946,12865007|16946,12865147|16946,12865279|16946,12865418|16946,12865564|16946,12865693|16946,12865829|16946,12865972|16946,12866098|16946,12866231|16946,12866371|16946,12866507|16946,12866650|16946,12866800|16946,12866929|16946,12867065|16946,12867208|16946,12867338|16946,12867475|16946,12867619|16946,12867754|16946,12867896|16946,12868045|16946,12868181|16946,12868324|16946,12868474|16946,12868604|16946,12868741|16946,12868885|16946,12869021|16946,12869164|16946,12869314|16946,12869443|16946,12869579|16946,12869722|16946,12869848|16946,12869981|16946,12870121|16946,12870247|16946,12870380|16946,12999133|16946,12999246|16946,12999368|16946,12999497|16946,12999633|16946,12999755|16946,12999884|16946,13000020|16946,13000143|16946,13000273|16946,13000410|16946,13000538|16946,13000673|16946,13000815|16946,13000937|16946,13001066|16946,13001202|16946,13001324|16946,13001453|16946,13001589|16946,13001711|16946,13001840|16946,13001976|16946,13002095|16946,13002221|16946,13002354|16946,13002473|16946,13002599|16946,13002732|16946,13002860|16946,13002995|16946,13003137|16946,13003256|16946,13003382|16946,13003515|16946,13003637|16946,13003766|16946,13003902|16946,13004021|16946,13004147|16946,13004280|16946,13004409|16946,13004545|16946,13004688|16946,13004810|16946,13004939|16946,13005075|16946,13005198|16946,13005328|16946,13005465|16946,13005593|16946,13005728|16946,13005870|16946,13005999|16946,13006135|16946,13006278|16946,13006400|16946,13006529|16946,13006665|16946,13006784|16946,13006910|16946,13042423|16946,13042534|16946,13042654|16946,13042781|16946,13042915|16946,13043036|16946,13043164|16946,13043299|16946,13043416|16946,13043540|16946,13043671|16946,13043791|16946,13043918|16946,13044052|16946,13044173|16946,13044301|16946,13044436|16946,13044563|16946,13044697|16946,13044838|16946,13044964|16946,13045097|16946,13045237|16946,13045357|16946,13045484|16946,13045618|16946,13045738|16946,13045865|16946,13045999|16946,13046119|16946,13046246|16946,13046380|16946,13046497|16946,13046621|16946,13046752|16946,13046869|16946,13046993|16946,13047124|16946,13047241|16946,13047365|16946,13047496|16946,13047622|16946,13047755|16946,13047895|16946,13048012|16946,13048136|16946,13048267|16946,13048390|16946,13048520|16946,13048657|16946,13048777|16946,13048904|16946,13049038|16946,13049155|16946,13049279|16946,13049410|16946,13049537|16946,13049671|16946,13049812|16946,13049932|16946,13050059|16946,13050193|16946,13050314|16946,13050442|16946,13050577|16946,13050703|16946,13050836|16946,13050976|16946,13051103|16946,13051237|16946,13051378|16946,13051499|16946,13051627|16946,13051762|16946,13051889|16946,13052023|16946,13052164|16946,13052284|16946,13052411|16946,13052545|16946,13052662|16946,13052786|16946,13052917|16946,13053034|16946,13053158|16946,13208701|16946,13208810|16946,13208928|16946,13209053|16946,13209185|16946,13209304|16946,13209430|16946,13209563|16946,13209678|16946,13209800|16946,13209929|16946,13210047|16946,13210172|16946,13210304|16946,13210423|16946,13210549|16946,13210682|16946,13210807|16946,13210939|16946,13211078|16946,13211202|16946,13211333|16946,13211471|16946,13211589|16946,13211714|16946,13211846|16946,13211964|16946,13212089|16946,13212221|16946,13212339|16946,13212464|16946,13212596|16946,13212711|16946,13212833|16946,13212962|16946,13213077|16946,13213199|16946,13213328|16946,13213443|16946,13213565|16946,13213694|16946,13213818|16946,13213949|16946,13214087|16946,13214202|16946,13214324|16946,13214453|16946,13214574|16946,13214702|16946,13214837|16946,13214955|16946,13215080|16946,13215212|16946,13215327|16946,13215449|16946,13215578|16946,13215703|16946,13215835|16946,13215974|16946,13216092|16946,13216217|16946,13216349|16946,13216468|16946,13216594|16946,13216727|16946,13216851|16946,13216982|16946,13217120|16946,13217245|16946,13217377|16946,13217516|16946,13217635|16946,13217761|16946,13217894|16946,13218019|16946,13218151|16946,13218290|16946,13218408|16946,13218533|16946,13218665|16946,13218780|16946,13218902|16946,13219031|16946,13219146|16946,13219268|16946,17099457|16946,17099560|16946,17099667|16946,17099781|16946,17099902|16946,23797741|16946,23797842|16946,23797947|16946,23798059|16946,23798178|16946,23798293|16946,23798398|16946,23798510|16946,23798629|16946,23798744|16946,23798849|16946,23798961|16946,23799080|16946,23799195|16946,23799300|16946,23799412|16946,23799531|16946,34961560|16946,34961663|16946,34961772|16946,34961888|16946,34962011|16946,34962130|16946,34962245|16946,34962367|16946,34962496|16946,34962612|16946,34962735|16946,34962865|16946,34962974|16946,34963090|16946,34963213|16946,34963332|16946,34963441|16946,34963557|16946,34963680|16946,34963799|16946,34963913|16946,34964034|16946,34964162|16946,34964279|16946,34964403|16946,34964534|16946,34964649|16946,34964771|16946,34964900|16946,34965017|16946,34965141|16946,34965272|16946,34965388|16946,34965511|16946,34965641|16946,34965750|16946,34965866|16946,34965989|16946,34966108|16946,34966223|16946,34966345|16946,34966474|16946,34966581|16946,34966695|16946,34966816|16946,34966930|16946,34967051|16946,34967179|16946,34967288|16946,34967404|16946,34967527|16946,34967646|16946,34967753|16946,34967867|16946,34967988|16946,34968097|16946,34968213|16946,34968336|16946,34968455|16946,34968570|16946,34968692|16946,34968821|16946,34968936|16946,34969058|16946,34969187|16946,34969296|16946,34969412|16946,34969535|16946,34969654|16946,34969763|16946,34969879|16946,34970002|16946,34970121|16946,34970230|16946,34970346|16946,34970469|16946,34970588|16946,34970704|16946,34970827|16946,34970957|16946,34971066|16946,34971182|16946,34971305|16946,34971424|16946,34971539|16946,34971661|16946,34971790|16946,34971899|16946,34972015|16946,34972138|16946,34972257|16946,34972364|16946,34972478|16946,34972599|16946,34972708|16946,34972824|16946,34972947|16946,34973066|16946,34973175|16946,34973291|16946,34973414|16946,34973533|16946,34973640|16946,34973754|16946,54345103|16946,54345226|16946,54345355|16946,54345491|16946,54345634|16946,54345763|16946,54345899|16946,54346862|16946,54346985|16946,54347114|16946,54347250|16946,54347393|16946,54347522|16946,54347658|16946,54350415|16946,54350538|16946,54350667|16946,54350803|16946,54350946|16946,54351075|16946,54351211|16946,54353148|16946,54353271|16946,54353400|16946,54353536|16946,54353679|16946,54353808|16946,54353944|16946,74708223|16946,74708313|16946,74708407|16946,74708508|16946,78112130|16946,78112240|16946,78112356|16946,78112479|16946,78112609|16946,78112735|16946,78112851|16946,78112974|16946,78113104|16946,78113230|16946,78113346|16946,78113469|16946,78113599|16946,78113725|16946,78113841|16946,78113964|16946,78114094|16946,87456293|16946,87456405|16946,87456523|16946,87456648|16946,87457199|16946,87457311|16946,87457429|16946,87457554|16946,87458133|16946,87458245|16946,87458363|16946,87458488|16946,87474496|16946,87474608|16946,87474726|16946,87474851
uberwar 16946,34769611|16946,34769728|16946,34769851|16946,34769981|16946,34770118
ubicomp 18466,3789|19899,20796|19899,29173|19899,33824|19899,36064|19899,42334|19990,1305|19990,1367|19990,9507|19990,10661|19990,12552|19990,13402|19995,1359|19995,1420|19995,1872|19995,9135|19995,9599|20008,9129|20019,1766|20019,5794|20019,16309|20019,16607|20019,18891|20019,18961|20019,19084|20019,19194|20019,19289|20019,19491|20019,19528
ubicompwatch 20019,17022
ubiqu 16946,28908|16946,28977|16946,29056|16946,29138|16946,29227|17285,692|17520,6119|17659,1016|17706,6119|17907,738|18653,1735|18820,738|18922,1658|19057,1700|19873,186|19981,617
ubiquit 16943,119|17009,724|17009,11892|17009,19073|17009,19504|17009,20128|17009,20937|17013,1206|17014,1206|17024,724|17024,11892|17024,19073|17024,19504|17024,20128|17024,20937|17255,2511|17255,2632|17273,971|17290,3784|17384,1831|17384,1923|17384,1943|17488,1414|17488,7691|17535,2435|17560,1921|17615,1274|17667,622|17717,1166|17717,2613|17717,3260|17992,2043|17992,2135|17992,2155|18026,1079|18036,2008|18205,1163|18293,664|18484,2469|18484,2590|18516,1606|18691,1873|18691,1965|18691,1985|18809,3224|18837,1670|18837,1791|18877,8|18877,635|18877,762|18877,1564|18877,1612|18877,2338|18890,8|18890,643|18890,2379|18910,12|18910,642|18910,740|18910,760|18910,1454|18910,1639|19019,1022|19222,32186|19222,34230|19227,1362|19227,1857|19231,32186|19231,34230|19232,1362|19232,1857|19865,2639|19865,3325|19866,196|19880,4074|19899,29150|19899,33801|19899,42311|19902,159|19904,196|19971,1044|19971,2020|19971,2846|19982,25|19982,386|19982,725|19982,1228|19990,384|19990,673|19990,1176|19990,1881|19990,2104|19990,6244|19990,7557|19990,7711|19990,8827|19990,9437|19990,9820|19990,11107|19990,12976|19990,13096|19990,13222|19995,394|19995,726|19995,1229|19995,1565|19995,2039|19995,2161|19995,2343|19995,2566|19995,3873|19995,7480|19995,9028|19995,9390|20008,9217|20008,11588|20009,849|20009,1002|20009,1089|20009,1342|20019,32|20019,421|20019,925|20019,1566|20019,1889|20019,2958|20019,5442|20019,5892|20019,7618|20019,13473|20019,16444|20019,16479|20019,16711|20019,19062|20019,19267|20299,1657|20300,1644|20306,1655|20312,1712|20313,1644|20315,1625|20317,1712
ubiquiti 19990,1512
ubuntu 16886,255|16887,253|16889,246|16890,253|16891,253|16892,372|16893,255|16894,251|16895,255|16896,255|16897,372|16898,253|16899,569|16900,181|16901,255|16902,251|16904,372|16905,208|16906,181|16907,248|16908,251|16909,251|16910,251|16911,181|16912,246|16913,208|16915,246|16916,181|16917,181|16918,248|16920,253|16921,569|16922,248|16923,208|16924,255|16925,246|16926,246|16928,181|16930,208|16931,372|16932,569|16933,246|16934,253|16937,248|16938,372|16939,208|16940,255|16941,253|16942,208|16944,246|16945,569|16947,248|16948,181|16949,251|16950,569|16952,208|16953,246|16955,569|16957,569|16958,208|16959,181|16960,372|16961,569|16962,208|16963,248|16964,253|16965,1268|16966,251|16967,248|16968,253|16969,251|16970,248|16971,255|16972,251|16973,246|16974,372|16975,372|16976,255|16977,248|16978,181|16979,569|16980,372|19200,1693|19203,3091|19203,3162|19208,3091|19208,3162|19211,1693
uc 16903,18|16914,5200|16914,5257|16914,5291|16914,5355|16914,5418|16914,5489|16914,5641|16914,5753|16914,5815|16914,5887|16914,5974|16914,6069|16914,6109|16914,6205|16914,6418|16914,6707|16914,6764|16914,6798|16914,6860|16914,6923|16914,6996|16914,7148|16914,7260|16914,7322|16914,7394|16914,7481|16914,7569|16914,7622|16914,7663|16943,1868|16946,74799409|16946,74799502|16946,74799601|16946,74799707|16951,119|16985,14767|16986,1725|16987,14767|16988,1027|16989,3429|16990,1036|16991,4109|16992,1024|16994,2605|16996,18167|16997,1110|16998,1725|16999,2743|17000,1681|17001,1025|17002,2920|17003,6194|17004,2811|17005,3294|17005,5307|17006,1423|17007,2805|17008,4820|17009,1958|17009,3724|17009,12312|17009,13517|17009,16125|17024,1958|17024,3724|17024,12312|17024,13517|17024,16125|17025,200|17025,802|17026,200|17026,1460|17027,191|17027,1744|17028,200|17028,240|17028,288|17028,741|17029,213|17029,815|17056,2278|17278,4013|17379,2320|17481,2025|17481,2549|17593,2105|17650,936|17665,1673|17679,2958|17686,1075|17686,1599|17987,2236|18027,1117|18027,1641|18162,2313|18163,2154|18542,2875|18555,1456|18594,1279|18637,2112|18673,21|18673,662|18673,1343|18673,1729|18693,880|18693,3343|18892,1348|19026,718|19026,2764|19034,2278|19058,1185|19247,1884|19255,1937|19257,1937|19266,4743|19273,3227|19276,2406|19283,518|19303,2114|19304,637|19307,25|19307,207|19307,221|19307,399|19316,846|19337,1687|19337,2097|19337,2276|19353,994|19353,1008|19353,1206|19357,31|19357,246|19357,373|19357,921|19363,2168|19370,434|19370,500|19388,273|19412,301|19426,1930|19426,2461|19426,2588|19426,3156|19426,4607|19431,711|19461,550|19461,687|19461,1029|19461,2517|19461,2541|19461,2724|19515,1260|19518,90|19518,261|19774,197|19862,1994|19866,1853|19866,1970|19866,2054|19866,2125|19869,5510|19869,5870|19873,1299|19877,5638|19877,5834|19904,1853|19904,1970|19904,2054|19904,2125|19913,622|19915,1410|19915,4584|19919,1489|19945,3548|19953,252|19956,84|19958,84|19959,84|19964,67|19964,93|19964,308|19964,651|19964,2932|19964,3132|19965,67|19965,93|19965,308|19965,651|19965,2932|19965,3132|19966,170|19967,147|19968,197|19969,139|19970,139|19970,583|19971,140|19972,143|19972,652|19973,179|19974,146|19975,138|19976,138|19976,2571|19976,3885|19976,7651|19977,146|19978,147|19980,145|19980,6313|19980,7396|19981,143|19982,160|19983,138|19984,181|19984,1638|19985,150|19985,802|19986,141|19987,141|19988,141|19989,137|19990,132|19991,147|19991,531|19991,2240|19992,138|19994,133|19995,139|19996,159|19997,137|19997,502|19998,138|19998,960|19998,1157|19999,136|20000,142|20000,897|20001,159|20002,152|20002,1801|20002,4261|20002,5183|20003,166|20004,39|20004,163|20005,145|20006,153|20007,160|20008,137|20009,132|20010,132|20011,139|20012,142|20013,160|20014,147|20014,478|20015,135|20016,166|20017,175|20018,147|20019,171|20063,1083|20067,34|20067,73|20067,2118|20067,2141|20068,34|20068,73|20068,1884|20068,1907|20069,34|20069,73|20069,273|20069,296|20070,33|20070,72|20070,4125|20070,4148|20071,34|20071,73|20071,2748|20071,2771|20072,34|20072,73|20072,2042|20072,2065|20073,34|20073,73|20073,2802|20073,2825|20074,33|20074,72|20074,5535|20074,5558|20075,34|20075,73|20075,458|20075,481|20076,34|20076,73|20076,2322|20076,2345|20077,32|20077,186|20077,1213|20077,1241|20078,34|20078,73|20078,1689|20078,1712|20079,34|20079,73|20079,1754|20079,1777|20080,32|20080,185|20080,1141|20080,1169|20081,34|20081,73|20081,3057|20081,3080|20083,33|20083,72|20083,6158|20083,6181|20084,34|20084,73|20084,2106|20084,2129|20085,34|20085,73|20085,1656|20085,1679|20086,34|20086,73|20086,1533|20086,1747|20086,1921|20086,1944|20087,34|20087,73|20087,859|20087,882|20088,34|20088,73|20088,10862|20088,10885|20089,34|20089,73|20089,275|20089,298|20090,34|20090,73|20090,2168|20090,2191|20091,34|20091,73|20091,1750|20091,1773|20092,34|20092,73|20092,452|20092,475|20093,34|20093,73|20093,2635|20093,2658|20094,34|20094,73|20094,2735|20094,2758|20095,34|20095,73|20095,1873|20095,1896|20096,34|20096,73|20096,1003|20096,1026|20097,34|20097,73|20097,3384|20097,3407|20098,34|20098,73|20098,1389|20098,1593|20098,1767|20098,1790|20099,34|20099,73|20099,2256|20099,2279|20100,34|20100,73|20100,272|20100,295|20101,34|20101,73|20101,2879|20101,2902|20102,34|20102,73|20102,1701|20102,1724|20103,34|20103,73|20103,3591|20103,3614|20104,34|20104,73|20104,275|20104,298|20105,34|20105,73|20105,2605|20105,2628|20106,34|20106,73|20106,2102|20106,2125|20107,34|20107,73|20107,2219|20107,2242|20108,34|20108,73|20108,280|20108,303|20109,34|20109,73|20109,2544|20109,2567|20110,34|20110,73|20110,408|20110,431|20111,34|20111,73|20111,2005|20111,2028|20112,34|20112,73|20112,1640|20112,1663|20113,34|20113,73|20113,2733|20113,2756|20114,34|20114,73|20114,688|20114,711|20115,34|20115,73|20115,1689|20115,1712|20117,34|20117,73|20117,3011|20117,3034|20118,34|20118,73|20118,1847|20118,1870|20119,34|20119,73|20119,1396|20119,1419|20120,34|20120,73|20120,1418|20120,1441|20121,34|20121,73|20121,2198|20121,2221|20122,34|20122,73|20122,710|20122,733|20123,34|20123,73|20123,1906|20123,1929|20124,34|20124,73|20124,726|20124,749|20125,34|20125,73|20125,1655|20125,1678|20126,34|20126,73|20126,1942|20126,1965|20127,34|20127,73|20127,2167|20127,2190|20128,34|20128,73|20128,2674|20128,2697|20129,34|20129,73|20129,1793|20129,1816|20130,34|20130,73|20130,290|20130,313|20131,34|20131,73|20131,1726|20131,1749|20132,34|20132,73|20132,3414|20132,3437|20133,34|20133,73|20133,1941|20133,1964|20134,32|20134,181|20134,1158|20134,1186|20135,34|20135,73|20135,1793|20135,1816|20136,34|20136,73|20136,2222|20136,2245|20137,34|20137,73|20137,1842|20137,1865|20138,34|20138,73|20138,1635|20138,1658|20139,34|20139,73|20139,1707|20139,1730|20140,34|20140,73|20140,2051|20140,2074|20141,34|20141,73|20141,1366|20141,1389|20142,33|20142,72|20142,6551|20142,6574|20143,34|20143,73|20143,2963|20143,2986|20144,34|20144,73|20144,809|20144,832|20145,34|20145,73|20145,1839|20145,1862|20146,34|20146,73|20146,1124|20146,1147|20147,34|20147,73|20147,298|20147,321|20148,34|20148,73|20148,2191|20148,2214|20149,34|20149,73|20149,1334|20149,1357|20150,34|20150,73|20150,1927|20150,1950|20151,34|20151,73|20151,290|20151,313|20152,34|20152,73|20152,3343|20152,3366|20153,34|20153,73|20153,1669|20153,1692|20154,34|20154,73|20154,2457|20154,2480|20155,34|20155,73|20155,1748|20155,1771|20156,34|20156,73|20156,1017|20156,1040|20157,34|20157,73|20157,1933|20157,1956|20158,34|20158,73|20158,2017|20158,2040|20159,34|20159,73|20159,1773|20159,1796|20160,34|20160,73|20160,2462|20160,2485|20161,34|20161,73|20161,419|20161,442|20162,34|20162,73|20162,1448|20162,1471|20163,34|20163,73|20163,2047|20163,2070|20165,34|20165,73|20165,1917|20165,1940|20166,34|20166,73|20166,1870|20166,1893|20167,34|20167,73|20167,1703|20167,1726|20168,34|20168,73|20168,1536|20168,1559|20169,34|20169,73|20169,2103|20169,2126|20170,32|20170,186|20170,1207|20170,1235|20171,34|20171,73|20171,1443|20171,1466|20172,34|20172,73|20172,1772|20172,1795|20173,34|20173,73|20173,289|20173,312|20174,34|20174,73|20174,2362|20174,2385|20175,34|20175,73|20175,1526|20175,1549|20176,34|20176,73|20176,2227|20176,2250|20177,34|20177,73|20177,475|20177,498|20178,34|20178,73|20178,1912|20178,1935|20179,34|20179,73|20179,1443|20179,1466|20180,34|20180,73|20180,2409|20180,2432|20181,34|20181,73|20181,590|20181,613|20182,34|20182,73|20182,302|20182,325|20183,34|20183,73|20183,432|20183,455|20184,34|20184,73|20184,1709|20184,1732|20185,34|20185,73|20185,2070|20185,2093|20186,34|20186,73|20186,1166|20186,1189|20187,34|20187,73|20187,2083|20187,2106|20188,33|20188,72|20188,1507|20188,1530|20189,34|20189,73|20189,3369|20189,3392|20190,34|20190,73|20190,2688|20190,2711|20191,33|20191,72|20191,5551|20191,5574|20193,34|20193,73|20193,1263|20193,1286|20194,34|20194,73|20194,492|20194,515|20195,34|20195,73|20195,1690|20195,1713|20196,34|20196,73|20196,1999|20196,2022|20198,34|20198,73|20198,1939|20198,1962|20199,34|20199,73|20199,1601|20199,1624|20200,34|20200,73|20200,2639|20200,2662|20201,34|20201,73|20201,205|20201,1298|20201,1321|20202,34|20202,73|20202,2669|20202,2692|20203,34|20203,73|20203,1513|20203,1536|20204,34|20204,73|20204,1278|20204,1301|20205,34|20205,73|20205,479|20205,502|20206,34|20206,73|20206,1535|20206,1558|20207,34|20207,73|20207,2209|20207,2232|20208,34|20208,73|20208,1714|20208,1737|20209,34|20209,73|20209,2909|20209,2932|20210,34|20210,73|20210,2726|20210,2749|20211,34|20211,73|20211,2029|20211,2052|20212,34|20212,73|20212,1919|20212,1942|20213,34|20213,73|20213,1450|20213,1473|20214,34|20214,73|20214,278|20214,301|20215,34|20215,73|20215,1931|20215,1954|20216,34|20216,73|20216,514|20216,633|20216,656|20217,34|20217,73|20217,1719|20217,1742|20218,34|20218,73|20218,2462|20218,2485|20219,34|20219,73|20219,2460|20219,2483|20220,34|20220,73|20220,2237|20220,2260|20221,34|20221,73|20221,2646|20221,2669|20222,34|20222,73|20222,1622|20222,1645|20223,34|20223,73|20223,1156|20223,1179|20224,34|20224,73|20224,1617|20224,1640|20225,34|20225,73|20225,557|20225,580|20226,34|20226,73|20226,1839|20226,1862|20227,34|20227,73|20227,1736|20227,1759|20228,34|20228,73|20228,1403|20228,1426|20229,282|20230,34|20230,73|20230,1060|20230,1083|20231,34|20231,73|20231,518|20231,541|20232,34|20232,73|20232,799|20232,822|20234,34|20234,73|20234,293|20234,316|20235,34|20235,73|20235,1046|20235,1069|20236,34|20236,73|20236,1875|20236,1898|20237,34|20237,73|20237,2150|20237,2173|20239,34|20239,73|20239,2933|20239,2956|20240,34|20240,73|20240,799|20240,822|20241,34|20241,73|20241,1633|20241,1656|20242,34|20242,73|20242,3095|20242,3118|20243,34|20243,73|20243,1830|20243,1853|20244,34|20244,73|20244,1997|20244,2020|20245,34|20245,73|20245,1525|20245,1548|20246,34|20246,73|20246,3103|20246,3126|20247,34|20247,73|20247,1806|20247,1829|20248,34|20248,73|20248,1493|20248,1516|20249,34|20249,73|20249,1874|20249,1897|20250,34|20250,73|20250,1463|20250,1486|20251,34|20251,73|20251,2159|20251,2182|20252,34|20252,73|20252,205|20252,1298|20252,1321|20253,34|20253,73|20253,1942|20253,1965|20254,34|20254,73|20254,15606|20254,15629|20255,34|20255,73|20255,1801|20255,1824|20256,34|20256,73|20256,2192|20256,2215|20257,34|20257,73|20257,1775|20257,1798|20258,34|20258,73|20258,1576|20258,1599|20259,34|20259,73|20259,1251|20259,1274|20260,34|20260,73|20260,2553|20260,2576|20261,34|20261,73|20261,209|20261,573|20261,596|20262,34|20262,73|20262,1604|20262,1627|20263,34|20263,73|20263,1864|20263,1887|20264,34|20264,73|20264,2055|20264,2078|20265,34|20265,73|20265,2681|20265,2704|20266,34|20266,73|20266,1200|20266,1405|20266,1588|20266,1611|20267,33|20267,72|20267,26081|20267,26104|20268,34|20268,73|20268,1691|20268,1714|20269,34|20269,73|20269,1967|20269,1990|20270,34|20270,73|20270,2259|20270,2282|20271,34|20271,73|20271,1507|20271,1530|20272,34|20272,73|20272,1803|20272,1826|20273,34|20273,73|20273,3014|20273,3037|20274,34|20274,73|20274,1982|20274,2005|20275,34|20275,73|20275,1782|20275,1805|20276,34|20276,73|20276,2551|20276,2574|20277,34|20277,73|20277,2677|20277,2700|20278,34|20278,73|20278,1543|20278,1566|20279,34|20279,73|20279,1588|20279,1611|20280,34|20280,73|20280,2025|20280,2048|20281,34|20281,73|20281,2570|20281,2593|20282,34|20282,73|20282,1633|20282,1656|20284,34|20284,73|20284,2261|20284,2284
ucar 16946,458209|16946,458282|16946,458363|16946,458450|16946,458544|16946,458645|16946,458742|16946,458829|16946,458923|16946,459024|16946,459132|16946,459236|16946,459316|16946,459400|16946,459491|16946,459589|16946,459683|16946,459770|16946,459864|16946,459965|16946,460062|16946,460150|16946,460245|16946,460347|16946,460445|16946,460523|16946,460608|16946,460700|16946,460799|16946,460894|16946,460972|16946,461054|16946,461143|16946,461239
ucb 20086,1515|20086,1775|20098,1371|20098,1621|20142,5264|20191,4102|20191,4225|20254,12886|20254,13867|20254,14296|20266,1182|20266,1433|20267,21286|20267,22657|20267,23572
ucf 19017,1134
ucfirst 19847,448|19847,5336|19847,5359|19847,5540
