fa 143,64,p
fall 40,1,u|48,43,title|48,10,b|48,5,p|48,42,p|48,68,p|48,82,p|48,121,p|48,41,p|55,1,u|115,163,p|138,6,p|143,160,p|187,413,p|330,81,p|399,170,p|475,13,p|512,130,p|539,148,p|539,148,p|593,1,u|661,52,p|736,147,p|911,1,u|951,28,a|1029,25,p|1139,45,p|1139,45,p|1142,123,p|1257,22,p|1284,170,p
fallolisp 677,1,a
fallsid 399,40,p|1284,40,p
faloutso 499,35,p|835,35,i|978,35,p|1240,35,i
falpha 60,8,p
fals 55,103,p|85,60,p|85,155,p|85,336,p|550,30,p|566,49,p|566,19,p|566,47,p|593,103,p|742,63,p|903,40,p|903,39,p|903,38,p|903,37,p|903,38,p|903,37,p|903,36,p|903,36,p|903,35,p|903,34,p|972,32,p|1090,13,p|1090,16,p|1090,15,p|1104,21,p|1126,0,p|1126,5,p|1126,43,p|1126,17,p|1126,58,p|1126,30,p|1126,17,p|1126,0,p|1126,18,p|1126,36,p|1126,23,p|1126,82,p|1201,36,p|1201,122,p
famhist 742,8,p
famili 33,2,a|47,1,p|47,35,p|115,2,a|159,130,p|163,2,a|168,414,p|168,492,p|168,20,p|168,20,p|168,32,p|168,46,p|168,53,p|170,7,p|183,84,p|183,266,p|183,0,p|183,12,p|305,23,p|305,0,p|306,2,a|321,442,p|321,23,p|321,76,p|321,43,p|321,31,p|321,40,p|321,33,p|327,48,p|327,137,p|327,9,p|352,2,a|388,2,a|470,2,a|481,2,a|499,47,p|566,58,p|566,41,p|566,26,p|566,30,p|566,30,p|589,12,p|589,12,p|589,23,p|605,23,p|605,0,p|625,55,a|706,2,a|742,17,p|795,104,p|799,55,a|819,2,a|880,80,p|919,220,p|919,282,p|919,297,p|919,15,p|919,45,p|919,71,p|919,245,p|926,54,p|935,2,a|972,314,p|972,428,p|972,34,p|976,36,p|976,36,p|976,46,p|981,2,a|1046,2,a|1060,501,p|1060,23,p|1060,76,p|1060,43,p|1060,31,p|1060,40,p|1060,33,p|1072,47,p|1080,2,a|1081,2,a|1110,55,p|1112,2,a|1126,63,p|1131,60,p|1195,11,p|1195,23,p|1228,136,p|1228,2,a|1240,165,p
familiar 111,504,p|124,111,p|706,182,p|903,326,p|972,23,p|1137,42,p
familiaris 123,22,p
famou 292,14,p|420,43,p|470,2,p|478,14,p|558,124,p|558,93,p|562,14,p|706,143,p|706,113,p|706,154,p|706,17,p|706,182,p|706,82,p|1031,14,p|1052,124,p|1052,93,p
famrel 589,3,p
famsiz 589,2,p
famsup 589,3,p
fan 98,8,i|148,1894,p|148,2197,p|148,2286,p|148,307,p|148,389,p|148,198,p|148,145,p|148,33,p|444,8,p|470,5,p|499,8,p|551,8,i|625,8,p|635,95,i|662,8,p|686,8,p|693,0,p|706,5,i|731,8,i|775,8,p|799,8,i|835,8,i|929,8,p|1064,25,p|1080,8,p|1110,8,i|1112,8,i|1244,95,p|1252,4,p|1252,4,u
fanae 661,5,p|661,4,p|661,0,p|661,9,p
fang 421,0,p|421,11,p|421,0,p|421,11,p|421,0,p|421,0,p|1041,115,p
fanti 567,18,p|567,0,u|567,52,p|567,0,p
fantinato 1231,8,p|1231,2,u|1231,18,p|1231,18,p|1231,86,p|1231,66,p
faq 1296,0,a|1302,0,title|1302,0,h1
far 85,29,p|85,316,p|115,244,p|115,243,p|115,246,p|221,58,p|255,44,p|320,48,p|466,312,p|506,44,p|508,58,p|558,34,p|706,104,p|799,20,p|806,35,p|806,66,p|859,215,p|1052,34,p|1096,34,p|1110,50,p|1147,54,p|1156,44,p|1215,94,p
faraaz 1299,125,li|1300,107,p|1304,8,p
farahbakhsh 238,43,p
farhad 981,0,i|981,42,i|1228,0,p|1228,42,p
farid 789,0,p|789,0,u
farm 279,41,p|307,468,p|307,29,p|321,49,p|499,147,p|914,145,p|914,41,p|1060,49,p|1072,147,p|1078,1,a|1141,33,title|1141,0,b|1141,88,p|1141,86,p|1141,19,p|1141,69,p
farmer 578,41,p|912,116,p|912,191,p
farther 115,61,p|529,79,p
fashion 33,45,p|388,45,p|819,45,p|1039,28,p|1112,45,p|1133,33,p
fast 16,172,p|37,48,p|57,0,a|77,53,a|77,4,a|98,7,a|108,12,p|111,0,a|114,0,a|114,2,a|121,0,a|128,2,a|128,0,a|138,7,a|143,53,a|143,0,p|143,4,a|255,0,a|255,0,p|258,4,a|266,2,a|266,0,a|310,0,a|360,0,a|367,0,a|399,356,p|417,0,a|417,75,p|420,4,a|444,2,a|444,0,a|452,0,a|470,0,a|477,2,a|477,0,a|484,0,a|499,2,a|499,10,a|506,0,a|506,0,p|510,7,a|519,53,a|529,53,a|531,2,a|549,24,a|549,44,a|553,0,a|561,188,p|601,7,a|603,200,p|630,2,a|662,2,a|662,0,a|679,2,a|706,0,a|706,164,p|731,2,a|731,0,a|742,14,p|742,14,p|742,24,a|742,44,a|745,0,a|755,11,p|787,0,a|800,0,a|810,2,a|834,53,a|835,2,a|835,10,a|852,246,p|856,0,a|882,52,p|888,156,p|888,109,p|906,0,a|929,7,a|1016,0,a|1032,0,a|1057,0,a|1068,0,a|1072,0,a|1076,0,a|1080,0,a|1088,0,a|1105,55,p|1112,0,a|1123,0,a|1156,0,a|1156,0,p|1197,53,a|1197,4,a|1201,81,p|1234,0,a|1247,0,a|1247,2,a|1272,12,p|1278,0,a|1279,0,a|1283,2,a|1283,0,a|1284,356,p|1295,214,p|1306,214,p
faster 40,32,a|55,32,a|95,175,p|354,93,p|477,82,p|499,13,a|593,32,a|722,106,p|769,32,a|810,89,p|810,89,p|822,32,a|835,5,p|835,13,a|911,32,a|1110,133,p|1247,82,p|1278,82,p
fastest 79,66,p|148,2257,p|312,54,p
fastlt 875,1,a
fastmail 736,1,u
fasym 60,8,p
fat 314,44,p
fatemi 1236,19,p|1236,9,p|1236,19,p|1236,19,p|1236,14,p|1236,39,p|1236,24,p
fathead 67,141,p|629,177,p|629,141,p|629,721,p|629,126,p|629,223,p
father 305,17,p|589,9,p|589,10,p|589,54,p|605,17,p|1131,237,p|1131,6,p
fatigu 734,8,p|1196,0,p|1196,32,p|1257,88,p
fatih 20,7,p|808,3,p|808,3,p|808,3,p
fatihadak 808,0,u
fattoruso 984,15,p|1062,15,p
fau 1139,197,p|1139,78,p
faucett 39,35,p
fault 162,2,p|393,29,p|393,29,p|395,107,p|395,65,p|857,46,title|857,13,b|857,31,p|857,53,p|857,8,p|975,105,scania|975,131,scania|983,1,a|1022,2,p|1041,178,p|1056,105,scania|1056,131,scania|1056,105,p|1056,131,p|1240,72,p|1299,13,a|1304,24,a|1304,12,a
faulti 127,14,p|975,43,scania|1056,43,scania
favor 33,37,p|115,101,p|388,37,p|551,3,p|706,89,p|819,37,p|888,200,p|1110,3,p|1112,37,p
favorit 33,63,p|214,47,p|388,63,p|699,91,p|780,393,p|819,63,p|880,21,p|1112,63,p
favour 367,50,p|1032,50,p
fawcett 57,26,p|444,26,p|470,26,p|662,26,p|706,26,i|711,4,p|711,0,u|711,3,p|711,3,p|731,26,i|787,26,p|1234,26,i
fax 93,0,p|367,1,p|424,0,p|441,0,p|484,1,p|553,1,p|647,24,p|775,262,p|929,0,p|972,0,p|1032,1,p|1157,0,p
fayez 27,5,p|27,5,u|886,5,p|886,5,u
fayyad 201,34,p|201,26,p
fb 348,0,p|436,0,p|742,14,p|742,8,p
fbi 321,184,p|321,43,p|1060,195,p|1060,43,p|1060,743,p|1060,93,p|1060,246,p|1060,4,p
fbp 505,0,a|892,0,a|892,52,p|892,192,p|892,209,p|892,22,p|892,62,p|892,105,p|892,143,p|987,0,a|1166,0,a|1166,52,p|1166,192,p|1166,209,p|1166,13,p|1166,53,p|1166,96,p|1166,134,p|1275,0,a
fc 384,22,p
fca 898,82,p
fcaramelo 905,0,u
fcm 799,0,p
fconc 60,8,p
fct 541,55,p|635,83,p|739,83,p|745,45,p|800,61,p
fd 79,15,p
fda 33,104,p|33,177,p|388,104,p|388,177,p|819,104,p|819,177,p|932,104,p|932,177,p|1112,104,p|1112,177,p
fdist 60,8,p
fdp 304,223,p|420,16,p|420,147,p|706,16,p|706,147,p
fe 775,105,p|775,4,p
fear 524,89,p|744,133,p
feasibl 561,205,p|561,300,p|835,154,p|835,196,p|1080,32,a|1083,55,p|1112,32,a
feat 110,9,p|113,9,p|204,9,p|267,9,p|769,206,p|822,206,p|1091,9,p
feather 324,6,p|639,79,p|715,70,p|715,69,p|1133,76,p|1297,41,p|1298,41,p|1300,41,p|1303,41,p|1304,41,p
