jaafar 1168,0,p|1168,0,p
japanes 33,57,p|219,33,title|219,0,b|219,159,p|235,114,p|297,67,p|388,57,p|532,33,title|532,0,b|532,10,a|532,0,b|532,10,a|626,33,title|626,0,b|626,50,p|626,60,p|706,80,p|819,57,p|972,403,p|972,610,p|981,143,p|1112,57,p
japanesevowel 688,40,title|688,40,h1|688,1,a|688,1,a|688,1,a|730,1,a
jar 1301,25,pre|1301,59,pre|1301,25,pre|1301,59,pre|1301,25,pre|1301,59,pre|1301,25,pre|1301,59,pre|1301,25,pre|1301,59,pre|1301,25,pre|1301,59,pre|1301,197,pre|1301,231,pre|1301,25,pre|1301,59,pre|1301,199,pre|1301,233,pre|1301,25,pre|1301,59,pre|1301,25,pre|1301,59,pre|1301,25,pre|1301,59,pre|1301,190,pre|1301,224,pre
jarine 292,0,p|478,0,p|558,0,i|562,0,p|1031,0,p|1052,0,i
jarkko 33,0,i|163,0,p|306,0,p|352,0,p|388,0,i|481,0,p|819,0,i|1046,0,p|1080,0,p|1081,0,p|1112,0,i
jartool 201,54,title|201,21,b|201,6,p|201,105,p
jarujamru 808,6,p|808,39,p|808,39,p
jasist 1137,153,p|1137,16,p
jason 0,0,h4|1,0,h4|2,0,h4|255,40,i|310,40,p|360,40,p|417,40,i|484,40,p|506,40,i|510,0,p|553,40,p|601,0,p|1016,40,p|1072,40,p|1088,40,p|1156,40,i|1203,78,p|1203,78,p
jathavedan 73,37,p|73,37,p|443,37,p|443,37,p
jauhari 393,7,p
jaum 46,12,p|190,57,p|190,64,p|253,51,p|644,22,p
jaundic 1196,0,p|1196,9,p
java 29,57,p|94,252,p|587,31,eidj,|635,5,a|716,21,p|1100,21,p|1244,5,a|1296,50,div|1297,428,p|1298,428,p|1301,24,pre|1301,67,pre|1301,98,pre|1301,148,pre|1301,24,pre|1301,67,pre|1301,24,code|1301,26,code|1302,0,code|1302,28,code|1302,0,code|1302,28,code
javad 238,21,p|584,26,p|611,26,p
javier 190,302,p|884,0,p|1041,0,p|1099,0,p|1099,14,p|1099,14,p|1099,47,p|1099,10,p|1099,10,p|1266,10,p
jayamartin 564,0,u
jayant 836,0,p|836,3,p
jaykay 3,0,a
jazani 1127,11,p|1127,36,p|1127,38,p
jblackard 654,0,u|654,0,u
jclore 759,0,u
jcu 258,10,u|779,10,u|779,10,u
jczerniak 967,0,u
jdcta 375,122,p
jdw 979,0,u
je 98,0,i|121,0,p|597,6,p|635,0,i|800,0,i|856,0,i|906,0,p|929,0,p|1057,0,p|1076,0,i|1123,0,p|1244,0,p|1279,0,p
jean 13,0,p|13,0,u|115,33,i|491,0,p|935,33,p|1012,39,p|1012,35,p
jeddah 403,67,p
jeff 244,0,p|244,97,p|292,11,p|292,27,p|310,0,p|310,0,u|360,0,p|360,0,u|499,0,p|543,0,p|835,0,i|1031,11,p|1031,27,p|1080,13,p|1228,0,p
jeffrey 16,47,i|74,47,i|138,0,i|244,60,p|244,95,p|244,139,p|244,48,p|244,72,p|244,130,p|244,58,p|339,12,p|348,47,p|367,0,p|417,47,i|436,47,p|480,47,p|510,0,p|543,0,u|601,0,p|715,47,i|1032,0,p|1072,47,p|1080,0,u|1167,47,p|1228,0,u|1264,0,p|1264,0,u|1278,0,i|1300,72,p
jel 211,0,u
jen 47,23,i|57,56,p|57,23,p|62,23,p|98,56,i|98,23,i|499,56,p|499,28,p|499,23,p|781,23,p|787,56,p|787,23,p|835,56,i|835,28,i|835,23,i|929,56,p|929,23,p|1095,23,i|1165,23,p|1178,0,p|1234,56,i|1234,23,i
jeng 33,4,i|163,4,p|306,4,p|352,4,p|388,4,i|481,4,p|819,4,i|1046,4,p|1080,4,p|1081,4,p|1112,4,i
jenkin 535,12,p|535,97,p|955,9,p|955,12,p
jennif 33,0,i|163,0,p|258,0,p|306,0,p|352,0,p|388,0,i|420,0,i|470,0,p|481,0,p|531,0,i|551,20,i|630,0,p|679,0,p|679,0,p|686,0,p|706,0,i|775,20,p|800,20,i|810,0,i|810,0,i|819,0,i|906,20,p|1046,0,p|1080,0,p|1081,0,p|1110,0,i|1112,0,i|1123,20,p
jensen 19,12,p|19,139,p|665,48,p
jeopardi 1127,36,p
jep 477,121,p|981,118,p|1247,121,p|1278,121,p
jeremi 77,0,p|143,0,i|258,0,p|420,0,i|470,0,p|706,0,i|715,0,i|1167,0,p|1197,0,p
jeremia 549,35,i|742,35,p|824,35,p|1269,35,i
jeremiah 466,7,p
jergen 40,10,p|55,34,p|87,178,p|593,34,p|769,36,p|786,196,p|822,36,p|911,10,p|1112,210,p
jerlin 211,5,p|211,4,u
jermain 1300,42,p
jeroen 74,0,i|98,0,i|348,0,p|436,0,p|470,0,p|549,0,i|679,0,p|686,0,p|706,0,i|742,0,p|810,0,i|892,0,i|929,0,p|987,0,p|1110,0,i|1275,0,p
jerom 40,0,p|54,0,p|55,0,p|64,0,i|114,13,p|128,13,p|255,0,i|266,13,p|276,0,i|310,0,p|360,0,p|484,0,p|500,0,p|506,0,i|553,0,p|593,0,p|769,0,i|822,0,i|911,0,p|1016,0,p|1088,0,p|1156,0,i|1283,13,p
jerri 955,0,p
jersey 1133,47,p|1141,37,p
jerzi 77,22,p|125,22,p|143,22,i|392,0,p|392,0,u|512,22,i|613,22,p|973,27,p|1115,70,p|1115,89,p|1197,22,p
jess 617,39,p
jessica 606,0,p|606,41,p|606,41,p|726,0,p|726,40,p|726,40,p
jet 217,234,p|217,244,p|217,255,p|217,266,p|217,279,p|217,289,p|217,300,p|217,311,p|217,324,p|217,334,p|217,345,p|217,356,p|217,369,p|217,379,p|217,390,p|217,401,p|1294,9,li
jewish 972,53,p
jfonollosa 86,0,u|642,67,p
jhausdor 244,0,u
jhu 54,4,u|54,4,u|132,4,u|163,4,u|679,12,u|1046,4,u
jia 1099,21,p|1300,9,p|1300,21,p|1304,9,p
jian 1185,35,i|1198,35,p|1300,219,p
jianbin 47,0,i|62,0,p|77,0,p|115,0,i|143,0,i|242,0,p|246,0,p|258,0,p|420,0,i|468,0,i|625,0,p|700,0,i|781,0,p|799,0,i|935,0,p|1033,0,p|1095,0,i|1165,0,p|1197,0,p
jianchang 65,18,i|286,18,p|354,18,i|499,18,p|805,18,p|835,18,i
jianfeng 1300,0,p|1304,0,p
jiang 64,5,i|77,22,p|143,22,i|170,5,p|246,22,p|258,5,p|292,5,p|324,5,p|420,5,i|470,5,p|470,22,p|477,89,p|478,5,p|500,5,p|531,22,i|531,5,i|549,22,i|549,5,i|551,5,i|558,5,i|562,5,p|630,22,p|630,5,p|635,22,i|639,5,i|679,22,p|686,22,p|700,22,i|706,5,i|706,22,i|731,99,p|734,22,p|737,5,i|742,22,p|742,5,p|775,5,p|810,22,i|932,22,i|1031,5,p|1052,5,i|1110,22,i|1197,22,p|1244,22,p|1247,89,p
jianhong 262,86,p
jianp 504,0,p|1215,0,i
jianwen 375,20,p|375,0,p
jiaotong 262,53,p
jiawei 1047,33,p|1047,33,p
jie 57,0,p|115,0,i|168,0,p|255,0,i|310,0,p|360,0,p|397,0,i|417,0,i|484,0,p|499,0,p|499,0,p|506,0,i|553,0,p|787,0,p|835,0,i|835,0,i|935,0,p|981,28,i|1016,0,p|1072,0,p|1088,0,p|1156,0,i|1228,28,p|1234,0,i
jihoon 40,0,p|55,0,p|170,0,p|367,18,p|593,0,p|679,18,p|737,0,i|769,0,i|810,18,i|822,0,i|911,0,p|1032,18,p|1278,18,i
jim 715,0,i|1167,0,p
jin 125,5,p|512,5,i|613,5,p|1080,5,p|1112,5,i
jinbo 531,35,i|630,35,p|679,35,p|810,35,i
jing 77,24,p|77,0,p|143,24,i|143,0,i|470,24,p|531,24,i|551,24,i|630,24,p|635,15,i|706,24,i|775,24,p|1197,24,p|1197,0,p|1244,15,p
jinyan 54,0,p|54,0,p|57,0,p|168,0,p|168,0,p|255,0,i|255,0,i|276,0,i|276,0,i|310,0,p|310,0,p|319,0,p|319,0,p|360,0,p|360,0,p|397,0,i|397,0,i|417,0,i|444,0,p|444,0,p|444,0,p|444,0,p|470,0,p|484,0,p|484,0,p|506,0,i|506,0,i|549,0,i|549,0,i|553,0,p|553,0,p|643,0,i|662,0,p|662,0,p|662,0,p|662,0,p|706,0,i|720,0,i|720,0,i|731,0,i|731,0,i|731,0,i|731,0,i|734,0,p|742,0,p|742,0,p|779,0,p|787,0,p|932,0,i|978,0,p|981,0,i|981,0,i|981,0,i|981,0,i|1016,0,p|1016,0,p|1072,0,p|1088,0,p|1088,0,p|1156,0,i|1156,0,i|1228,0,p|1228,0,p|1228,0,p|1228,0,p|1234,0,i|1240,0,i
jiot 743,13,p
jirina 60,67,p
jist 1168,69,p
jit 322,3,p
jitend 292,0,p|292,22,p|478,0,p|478,22,p|551,0,i|551,22,i|558,0,i|558,22,i|562,0,p|562,22,p|734,22,p|775,0,p|775,22,p|932,22,i|1031,0,p|1031,22,p|1052,0,i|1052,22,i
jitesh 912,0,p
jitter 273,14,p|273,29,p|273,54,p|273,67,p|273,81,p|273,14,p|273,29,p|273,54,p|273,67,p|273,81,p|322,30,p|457,0,p|457,10,p|457,22,p|457,33,p|457,45,p|518,5,p|518,20,p|518,50,p|672,47,p|672,77,p
jj 79,3,p|217,416,p|722,16,p|824,10,p|864,0,p|864,0,p|1215,14,p
jjj 217,422,p
jjr 864,0,p
jjwjj 549,109,p
jkanno 231,0,u|1250,0,u
jl 810,83,p
jlv 217,435,p
jmgomezh 830,29,at|830,14,at
jminguillona 1137,51,p
jniewcza 973,16,p
jo 115,0,i|452,24,p|531,99,i|549,99,i|583,14,u|625,6,p|630,99,p|686,99,p|742,99,p|799,6,i|904,0,i|935,0,p|981,0,i|1044,6,i|1068,24,i|1069,6,p|1080,99,p|1110,99,i|1112,99,i|1211,0,p|1228,0,p
joachim 267,91,p|267,1,u|267,16,a|267,45,p|835,165,p|1050,3,p
joan 190,77,p|190,77,p|190,77,p|311,78,p|439,80,p
joana 905,3,p
joanacrisostomo 905,0,u
joao 114,0,p|127,0,i|128,0,p|266,0,p|477,0,i|521,0,p|550,3,p|654,0,p|661,30,p|661,26,p|661,34,p|1122,0,i|1247,0,i|1283,0,p
joaobern 430,0,u
joaquin 330,29,p|330,29,p
job 348,7,p|436,7,p|589,18,p|589,19,p|604,5,p|951,1,a|1137,12,p|1137,0,p|1160,7,p|1160,21,p|1195,17,p|1195,19,p|1300,40,a|1301,6,p|1301,127,p|1301,218,p|1301,6,p|1301,87,p|1301,124,p|1301,11,p
jochem 1277,45,p
jochen 54,0,p|98,0,i|138,0,i|276,0,i|510,0,p|531,0,i|531,0,i|531,0,i|601,0,p|630,0,p|630,0,p|630,0,p|686,0,p|929,0,p|1110,0,i
jock 33,147,p|388,147,p|654,9,p|654,3,p|654,10,p|654,10,p|654,10,p|654,75,p|819,147,p
jodrel 493,93,p
joe 722,28,p
jog 466,4,p|761,5,p
johann 40,25,p|55,25,p|203,17,p|233,0,i|255,59,i|310,59,p|360,59,p|402,17,i|417,59,i|417,17,i|484,59,p|499,17,p|506,59,i|553,59,p|566,40,p|593,25,p|625,40,p|625,0,p|625,0,p|654,0,p|754,0,p|769,25,i|799,40,i|799,0,i|799,0,i|822,25,i|835,17,i|911,25,p|978,0,p|981,20,i|1016,59,p|1072,59,p|1072,17,p|1088,59,p|1122,0,i|1156,59,i|1202,17,p|1228,20,p|1240,0,i
john 33,4,p|33,4,p|33,42,i|33,65,p|33,57,i|45,0,p|45,0,p|54,25,p|54,102,p|57,25,p|62,213,p|62,149,p|64,133,p|72,25,i|77,41,p|98,25,i|98,25,i|98,22,i|103,10,i|103,0,i|103,25,i|111,20,p|111,57,p|121,102,p|121,57,p|121,20,p|125,149,p|138,25,i|143,41,i|163,42,p|163,57,p|175,11,p|202,102,i|235,10,p|235,25,p|258,102,p|276,25,i|276,102,i|276,156,p|292,27,p|306,42,p|306,57,p|319,102,p|352,42,p|352,57,p|358,0,p|358,5,p|367,57,p|367,25,p|388,4,p|388,4,p|388,42,i|388,65,p|388,57,i|417,0,i|420,102,i|431,10,i|431,25,i|470,166,p|470,84,p|470,48,p|470,69,p|470,10,p|470,42,p|478,27,p|481,42,p|481,57,p|499,41,p|499,0,p|499,41,p|510,25,p|531,20,i|531,102,i|531,57,i|541,102,i|543,25,p|549,41,i|549,0,i|549,41,i|549,25,i|549,20,i|549,57,i|551,102,i|558,27,i|562,27,p|575,15,p|575,0,p|591,0,p|591,26,p|601,25,p|613,149,p|625,102,p|630,102,p|630,57,p|630,20,p|635,10,i|679,0,p|679,0,p|679,145,p|686,20,p|686,57,p|706,48,i|706,69,i|706,10,i|706,42,i|720,102,i|742,41,p|742,0,p|742,41,p|742,25,p|742,20,p|742,57,p|745,20,i|745,57,i|759,200,p|759,175,p|759,109,p|759,109,p|775,102,p|787,25,p|799,102,i|810,210,p|810,210,p|810,44,p|819,4,p|819,4,p|819,42,i|819,65,p|819,57,i|835,41,i|835,0,i|835,41,i|849,0,p|849,0,u|856,20,i|856,102,i|856,57,i|873,25,i|892,78,p|892,57,i|906,5,p|929,25,p|929,25,p|929,22,p|973,4,p|978,102,p|981,16,p|981,102,i|987,57,p|1031,27,p|1032,57,p|1032,25,p|1046,42,p|1046,57,p|1052,27,i|1057,102,p|1057,57,p|1057,20,p|1072,0,p|1076,20,i|1076,102,i|1076,57,i|1077,25,p|1080,41,p|1080,41,p|1080,0,p|1080,0,p|1080,57,p|1080,42,p|1081,42,p|1081,57,p|1090,10,p|1090,25,p|1090,0,p|1110,20,i|1110,57,i|1112,4,p|1112,4,p|1112,41,i|1112,57,i|1112,42,i|1112,65,p|1112,41,i|1112,0,i|1112,0,i|1123,5,p|1157,102,p|1165,213,p|1165,149,p|1170,41,p|1183,41,i|1197,41,p|1201,102,p|1228,102,p|1234,63,p|1234,25,i|1240,102,i|1244,10,p|1257,1,p|1275,57,p|1278,57,i|1278,25,i|1279,102,p|1279,57,p|1279,20,p
johnson 201,35,p|685,6,p|685,7,p|685,3,p|685,3,p|685,3,p|685,3,p|816,6,p|816,0,u|816,85,p|816,0,p|816,13,p|914,6,p|914,0,p|914,0,p|914,13,p|1015,6,p|1015,0,u|1015,0,p|1015,0,p
johnsson 330,7,p|330,7,p
johnston 487,32,p
johutchi 119,0,u|293,0,u
join 47,48,a|62,48,a|115,48,a|242,48,a|246,48,a|303,530,p|468,48,a|625,48,a|665,183,osm_id,longitude,latitude,altitude(mts)|700,48,a|781,48,a|799,48,a|935,48,a|1033,48,a|1095,48,a|1165,48,a|1296,34,title|1296,34,h1|1296,77,p|1296,219,p|1296,292,p|1296,518,p|1296,543,p|1296,34,b|1296,100,div|1300,35,a|1301,9,a|1301,30,a|1301,8,a|1301,25,a|1301,34,pre|1301,6,h3|1301,37,p|1301,131,p|1301,25,h4|1301,53,p|1301,115,p|1301,49,p|1301,5,h3|1301,32,p|1301,201,p|1301,20,h4|1301,49,p|1301,47,p|1301,182,p|1301,51,p|1301,45,p|1301,48,p|1301,9,p|1301,47,p|1301,16,li|1301,20,li|1301,24,li|1302,115,p|1302,217,p|1304,66,a|1304,42,a|1304,53,a|1305,113,li
joinandpolish 394,1,a
joint 54,128,p|54,13,p|115,30,p|183,18,p|183,33,p|183,23,p|187,153,p|231,379,p|276,13,i|303,279,p|303,352,p|303,71,p|324,13,p|399,137,p|500,136,p|504,72,p|544,199,p|549,35,i|639,13,i|695,23,p|695,34,p|742,35,p|835,30,p|1029,127,p|1029,127,p|1060,149,p|1080,13,p|1106,75,p|1106,75,p|1112,13,i|1112,68,p|1112,164,p|1250,379,p|1284,137,p
joke 830,16,p
jolla 452,3,p|930,63,p
jomaa 969,8,p
jon 77,19,p|119,0,p|143,19,i|293,0,p|470,19,p|679,19,p|686,19,p|706,19,i|759,3,p|810,19,i|939,19,i|1110,19,i|1125,19,p|1185,19,i|1197,19,p|1198,19,p
jona 10,42,p|148,36,p|975,6,p|975,0,u|975,6,scania|975,0,u|1056,6,p|1056,0,u|1056,6,scania|1056,0,u
jonathan 33,38,i|33,38,i|77,38,p|77,16,p|77,38,p|103,16,i|114,46,p|128,46,p|143,38,i|143,16,i|143,38,i|163,38,p|163,38,p|266,46,p|306,38,p|306,38,p|352,38,p|352,38,p|388,38,i|388,38,i|444,16,p|481,38,p|481,38,p|505,38,p|505,38,p|543,0,p|549,38,i|662,16,p|679,38,p|679,16,p|679,38,p|731,16,i|742,38,p|759,80,p|759,14,p|759,14,p|810,38,i|810,16,i|810,38,i|819,38,i|819,38,i|873,0,i|1046,38,p|1046,38,p|1080,38,p|1080,16,p|1080,38,p|1081,38,p|1081,38,p|1090,16,p|1112,38,i|1112,16,i|1112,38,i|1166,38,i|1166,38,i|1197,38,p|1197,16,p|1197,38,p|1283,46,p
jonathon 470,44,p|706,44,i|706,0,p
jone 87,77,p|786,77,p|878,37,title|878,4,b|878,48,p|878,116,p|878,33,p|1112,77,p
jong 242,300,p|564,196,p|564,196,p|1033,300,p
joost 74,21,i|98,21,i|348,21,p|436,21,p|470,21,p|549,21,i|679,21,p|686,21,p|706,21,i|742,21,p|810,21,i|892,21,i|929,21,p|987,21,p|1110,21,i|1275,21,p
jordan 57,28,p|70,33,i|111,28,p|168,28,p|364,28,p|397,28,i|444,28,p|470,33,p|512,106,p|583,236,p|662,28,p|706,33,i|731,28,i|745,53,p|745,28,i|787,28,p|1101,28,i|1104,33,p|1147,68,p|1147,48,p|1234,28,i
jordanian 583,44,p
jordi 10,0,p|10,0,p|10,5,p|10,25,p|10,0,p|86,0,p|148,0,p|148,19,p|642,0,p|642,32,p|642,32,p|714,0,p|888,10,p|888,0,p|930,0,p|1099,30,p
jorg 183,46,p|311,0,p|311,62,p|311,59,p|311,62,p|311,0,p|311,62,p|439,0,p|439,2,p|439,64,p|439,61,p|439,64,p|439,2,p|439,2,p|1268,62,p
jornada 419,36,p
jose 146,137,p|252,141,p|330,0,p|330,11,p|330,49,p|330,11,p|330,49,p|466,236,p|481,221,p|531,75,i|544,97,p|549,75,i|575,98,p|630,75,p|686,75,p|742,75,p|979,5,p|1080,75,p|1081,221,p|1110,75,i|1112,75,i
josep 190,256,p|499,0,p|835,0,i|981,0,i|1228,0,p
joseph 34,12,p|230,15,p|494,19,p
josephin 74,16,i|348,16,p|436,16,p
joshua 1300,45,p
josquin 23,7,a
jossinet 597,2,p|597,0,p|597,28,p
jouf 902,29,p|902,11,p|1280,67,p
journ 884,189,p
