d01 1030,1768
data1 477,141|952,2617|1035,116
data2 320,1087|477,154
data_10_perc 392,167
data_akbilg 39,116
data_banknote_authent 141,116
data_channel_is_bu 319,3072
data_channel_is_entertain 319,3000
data_channel_is_lifestyl 319,2932
data_channel_is_socm 319,3139
data_channel_is_tech 319,3210
data_channel_is_world 319,3273
data_cortex_nuclear 1189,116
data_featur 358,1859
data_fold 952,932
data_for_uci_nam 242,116
data_user_modeling_dataset_hamdi 399,116
databas 13,820|13,935|13,1561|15,33|15,81|16,33|16,81|17,50|17,294|17,505|17,727|17,2120|18,33|18,87|19,33|19,109|23,33|23,90|25,457|25,1387|25,3148|26,33|26,81|27,33|27,81|29,33|29,81|32,33|32,95|33,4119|34,3681|34,4905|34,4970|34,8995|34,9942|34,11157|34,11875|34,11931|34,12338|34,15417|37,33|37,81|38,459|38,1082|38,2359|38,2434|38,2588|39,33|39,81|41,810|41,4871|42,33|42,103|43,33|43,89|45,33|45,110|46,658|46,768|47,895|47,1150|47,1271|47,1920|47,2006|47,2037|47,2109|47,2619|47,3365|47,3475|47,3646|47,3672|47,4078|47,4164|47,7337|47,7359|48,5326|51,33|51,81|52,706|52,1314|52,2353|52,3041|52,3466|53,33|53,82|54,33|54,95|55,809|55,1093|56,410|56,915|56,976|56,9083|59,33|59,89|60,33|60,91|64,33|64,103|66,2418|66,2499|67,33|67,84|69,33|69,94|70,33|70,81|75,1503|75,1765|75,1895|75,1981|76,33|76,81|78,5549|83,33|83,91|86,1068|89,33|89,81|90,33|90,83|91,33|91,87|93,33|93,90|97,1964|98,33|98,81|99,3032|99,3533|99,4480|99,4610|99,4696|99,8950|99,9432|100,33|100,81|101,33|101,81|102,33|102,81|103,33|103,81|105,33|105,81|106,33|106,81|107,33|107,81|109,377|109,399|109,457|110,33|110,90|111,1334|111,1363|112,407|112,888|112,1129|113,33|113,101|114,981|114,1010|115,46|115,299|116,5812|117,1193|117,1296|118,33|118,87|120,2146|121,33|121,81|122,409|122,431|122,494|122,979|123,33|123,81|125,41|125,267|126,1113|127,33|127,81|128,3807|129,46|129,299|130,33|130,81|131,33|131,98|132,33|132,87|135,33|135,81|138,33|138,109|139,5019|139,8149|139,8370|141,33|141,81|142,33|142,81|144,10774|144,17307|145,33|145,94|146,33|146,116|148,33|148,90|150,33|150,86|153,33|153,93|154,33|154,81|155,33|155,82|157,33|157,97|158,33|158,81|159,33|159,81|161,2799|162,33|162,81|163,777|163,1132|163,1244|164,416|164,992|164,6817|164,10167|164,10311|165,33|165,81|166,33|166,81|167,33|167,103|168,33|168,81|169,338|169,901|169,2607|169,2859|170,33|170,81|173,33|173,81|174,33|174,81|175,33|175,81|177,33|177,81|180,33|180,86|182,33|182,105|183,390|187,33|187,81|190,33|190,98|191,408|191,2338|191,2648|191,2699|191,2771|191,2806|191,2918|191,3253|191,3856|191,8238|191,8639|192,1559|192,1854|192,2012|192,2204|193,33|193,84|194,33|194,81|196,33|196,86|197,33|197,87|200,33|200,81|202,3933|204,7315|205,1171|205,1200|206,33|206,92|207,33|207,81|210,33|210,92|211,33|211,121|213,33|213,84|214,1369|216,33|216,81|221,33|221,104|223,33|223,81|224,33|224,84|226,33|226,106|230,33|230,81|235,33|235,81|237,33|237,85|238,33|238,81|239,3858|240,33|240,84|241,33|241,98|242,33|242,81|244,33|244,81|246,33|246,81|247,373|248,33|248,81|249,33|249,81|250,33|250,81|252,33|252,81|253,434|253,1383|253,1437|253,1661|253,1815|254,394|254,1315|254,1445|254,3759|254,5096|254,5440|255,33|255,86|256,6520|256,13091|257,33|257,86|258,33|258,81|260,33|260,88|261,33|261,124|262,33|262,86|264,33|264,81|265,33|265,81|267,46|267,299|268,1172|268,1713|268,1742|269,33|269,81|271,33|271,97|274,2437|275,33|275,90|276,33|276,81|277,1384|278,33|278,88|279,33|279,85|281,33|281,81|282,4948|283,33|283,122|284,33|284,94|285,33|285,94|286,33|286,81|290,33|290,100|291,33|291,81|292,33|292,97|293,380|295,33|295,80|296,33|296,81|298,3866|298,4007|298,4354|299,33|299,89|300,33|300,82|301,33|301,81|302,33|302,113|303,303|304,970|304,1102|304,1280|306,1968|306,3598|307,422|307,2647|307,8125|310,1112|311,407|311,714|311,5491|312,430|316,33|316,81|317,33|317,81|318,1151|318,4268|320,808|320,2684|321,962|321,1502|321,1935|323,1388|324,33|324,81|325,782|327,33|327,81|328,1236|328,2779|329,33|329,88|332,412|333,33|333,81|335,33|335,110|336,33|336,81|337,33|337,114|338,33|338,81|339,33|339,81|340,2132|341,33|341,81|342,33|342,81|343,33|343,81|344,33|344,81|346,33|346,81|350,33|350,81|351,1701|351,2103|352,33|352,81|353,422|353,2647|353,8125|354,33|354,81|356,33|356,88|358,1124|361,407|361,714|361,5640|362,33|362,81|363,33|363,81|364,33|364,81|366,33|366,81|367,33|367,107|369,33|369,83|370,33|370,81|371,33|371,88|372,33|372,81|373,33|373,81|374,33|374,81|375,33|375,86|377,33|377,81|379,33|379,82|380,33|380,81|382,33|382,81|383,370|383,775|383,951|383,1218|383,1412|383,1721|383,2421|384,33|384,81|386,33|386,81|387,33|387,81|389,2118|389,6465|389,6530|389,7973|389,10852|389,11382|389,11680|389,12398|389,12454|389,13790|390,33|390,81|392,33|392,88|393,970|395,33|395,108|397,33|397,81|399,33|399,81|403,612|403,811|406,33|406,99|409,33|409,109|410,33|410,81|411,33|411,81|412,33|412,81|413,33|413,81|414,33|414,81|415,33|415,81|416,33|416,86|418,862|418,1710|418,2704|418,4572|418,6092|418,6291|418,7682|418,8749|419,33|419,92|420,4448|421,19150|423,33|423,97|424,33|424,99|427,33|427,81|429,33|429,90|430,1095|430,1379|430,2005|430,3119|433,33|433,92|435,33|435,81|438,33|438,81|439,33|439,116|445,5120|446,33|446,115|448,33|448,99|449,33|449,81|450,33|450,81|451,504|452,33|452,81|456,33|456,81|457,33|457,105|459,3512|460,33|460,82|461,33|461,91|462,33|462,81|463,10699|463,13222|465,33|465,81|466,33|466,81|468,33|468,81|470,33|470,81|471,330|471,756|471,7515|471,9134|472,33|472,81|473,33|473,81|474,33|474,81|475,2734|477,33|477,87|478,46|478,308|478,536|478,7539|478,8728|478,17010|478,18294|479,380|479,1081|479,2522|480,33|480,81|481,50|481,285|481,3562|482,422|482,2144|482,7698|483,33|483,81|484,33|484,81|485,381|485,728|485,2015|485,2366|485,2501|485,2542|485,2781|485,2907|485,2960|485,3075|485,3162|485,3241|485,4876|485,7419|486,33|486,91|489,33|489,97|490,33|490,81|491,33|491,81|492,2621|493,33|493,81|496,33|496,82|497,33|497,81|500,918|500,5452|501,765|503,1103|507,6505|507,13076|512,33|512,99|513,1509|513,2399|514,33|514,81|515,33|515,81|516,33|516,91|517,33|517,122|521,33|521,81|522,449|522,1380|523,33|523,81|525,787|525,952|525,1078|525,1174|525,3030|526,33|526,97|528,33|528,81|529,1733|531,33|531,81|532,3920|532,4232|532,5879|532,6557|532,7202|532,7258|535,33|535,81|537,33|537,93|538,33|538,81|541,33|541,81|543,33|543,108|545,447|545,1394|546,33|546,81|547,33|547,84|548,33|548,81|550,10119|550,10165|550,11297|550,13712|550,15177|550,21284|550,26597|550,29548|552,13182|552,15163|552,20150|552,20231|552,20263|552,26181|553,33|553,81|554,381|554,728|554,2015|554,2366|554,2501|554,2542|554,2781|554,2907|554,2960|554,3075|554,3162|554,3241|554,4876|554,7270|555,33|555,81|558,33|558,85|559,8978|559,9025|559,12058|559,19885|559,20421|560,33|560,81|561,33|561,81|563,380|563,1081|563,2522|566,33|566,81|569,33|569,93|570,33|570,79|571,33|571,85|572,33|572,81|573,33|573,83|574,33|574,81|576,357|577,33|577,83|578,33|578,99|582,33|582,89|583,33|583,91|585,6644|587,33|587,81|589,416|589,834|589,1516|589,2484|589,3623|590,5063|591,33|591,81|592,738|592,1430|592,1550|592,1619|592,2164|592,2525|592,6039|593,560|594,410|594,915|594,976|594,9083|595,33|595,83|596,33|596,96|597,33|597,81|599,33|599,81|603,33|603,93|606,1968|606,3598|608,33|608,95|609,33|609,91|610,33|610,81|611,33|611,101|612,5672|613,33|613,81|614,1113|616,33|616,81|619,33|619,81|620,33|620,81|623,33|623,81|626,1050|626,1302|628,33|628,83|631,372|632,366|632,893|633,33|633,81|634,33|634,89|635,33|635,81|636,3447|636,3610|636,3655|636,5092|636,5115|636,5544|636,6542|636,6577|639,33|639,81|641,33|641,81|642,33|642,81|645,387|645,1183|645,2078|645,2613|645,4917|645,5133|645,5155|645,5475|645,8871|645,8893|646,33|646,106|649,33|649,85|651,33|651,81|652,33|652,112|653,33|653,104|655,655|655,919|655,3593|655,6656|656,372|656,433|656,788|656,1589|658,33|658,81|659,33|659,81|660,33|660,81|663,5120|664,33|664,81|665,1094|665,1111|665,1248|665,1279|669,33|669,88|670,33|670,88|671,33|671,112|672,33|672,81|674,33|674,84|675,33|675,81|677,720|677,866|678,33|678,108|679,33|679,80|681,33|681,81|682,33|682,87|683,33|683,97|684,33|684,81|685,33|685,81|687,6478|688,33|688,96|689,33|689,94|690,33|690,81|691,33|691,81|693,33|693,81|695,33|695,81|697,33|697,81|698,33|698,81|699,33|699,85|703,33|703,81|704,33|704,81|705,33|705,109|707,2252|707,15290|707,15762|707,18762|707,21615|707,23880|707,23927|707,35617|707,39269|707,46148|709,33|709,92|710,33|710,79|711,33|711,81|714,33|714,81|718,33|718,81|719,33|719,81|720,33|720,81|721,736|722,33|722,91|724,33|724,81|726,33|726,81|728,33|728,81|729,33|729,81|730,1140|731,33|731,75|732,4076|732,10501|733,33|733,85|734,33|734,103|735,984|735,1852|736,33|736,101|739,1221|739,2127|741,33|741,92|742,33|742,89|743,343|743,1098|743,1230|743,1461|743,1662|743,1766|743,7199|743,17403|746,4091|746,6801|746,8818|746,9895|746,9998|748,33|748,81|750,33|750,81|751,33|751,84|752,33|752,83|752,335|753,33|753,109|754,33|754,81|755,1618|756,1320|756,1665|756,1907|757,33|757,81|758,33|758,97|760,1228|760,1522|760,2587|760,2931|760,3290|761,33|761,81|764,33|764,81|767,33|767,101|771,33|771,86|772,33|772,81|773,33|773,83|775,4098|776,2233|777,33|777,81|778,33|778,81|783,33|783,117|785,1448|785,3378|786,33|786,91|789,33|789,107|790,439|790,969|790,1042|790,1098|790,1213|790,1461|790,1524|790,1566|790,1628|790,2295|790,2358|790,2400|790,2462|791,33|791,81|792,33|792,80|793,33|793,81|795,33|795,79|797,33|797,81|798,33|798,85|799,33|799,82|800,10194|801,6213|801,6250|801,6786|801,9518|802,33|802,81|803,33|803,109|804,33|804,79|805,33|805,81|806,4818|808,33|808,83|811,10472|811,15097|811,20370|811,28117|813,33|813,96|814,33|814,81|816,33|816,88|819,33|819,114|820,2124|820,6471|820,6536|820,8456|820,10858|820,11388|820,11686|820,12404|820,12460|820,14361|822,351|825,745|825,1376|825,2142|826,33|826,86|828,33|828,81|829,1035|832,33|832,100|833,33|833,81|836,6704|836,10586|836,10785|838,33|838,81|839,424|839,2634|839,3698|839,3743|839,4476|839,4522|839,4821|841,33|841,81|843,33|843,107|844,33|844,81|845,33|845,87|846,33|846,81|849,33|849,81|852,33|852,81|853,1394|853,1473|854,33|854,81|855,33|855,81|857,823|857,2521|857,7313|861,33|861,89|863,33|863,87|866,33|866,81|867,33|867,81|868,33|868,81|869,33|869,83|870,33|870,90|871,33|871,98|872,33|872,88|873,33|873,81|874,3808|874,3868|874,6802|874,7230|875,33|875,81|876,33|876,99|877,33|877,79|878,1038|878,1153|878,1354|879,1748|880,33|880,81|882,789|882,1420|884,33|884,81|886,33|886,81|888,33|888,81|890,33|890,81|891,33|891,81|892,33|892,81|894,33|894,81|895,33|895,86|896,950|897,33|897,81|900,33|900,88|901,33|901,79|906,1968|907,988|907,1242|907,1823|907,2094|907,2785|907,3544|908,33|908,81|909,33|909,81|910,33|910,81|911,33|911,81|912,810|912,4871|914,33|914,109|917,33|917,81|918,33|918,91|919,33|919,81|921,33|921,81|923,2954|924,33|924,106|926,33|926,81|930,353|930,747|930,1041|930,1349|930,1414|930,1666|930,1937|930,2323|930,2385|930,2478|930,2500|930,2558|930,2609|930,2759|930,2781|930,2844|930,2930|932,33|932,81|933,10025|936,397|936,917|936,1970|936,2196|937,33|937,81|938,33|938,81|939,33|939,89|942,33|942,88|943,33|943,81|944,33|944,81|945,33|945,116|946,33|946,81|947,33|947,83|949,33|949,81|950,33|950,110|951,33|951,99|952,33|952,81|953,511|954,33|954,81|955,33|955,88|957,33|957,103|958,33|958,83|959,305|959,1268|960,33|960,81|961,33|961,81|962,33|962,81|963,33|963,81|964,33|964,82|965,33|965,81|966,33|966,92|967,33|967,81|969,33|969,89|973,1016|975,33|975,85|978,33|978,84|980,1420|982,3653|982,4111|982,10722|982,13564|982,22075|982,22149|983,33|983,81|984,33|984,81|986,33|986,83|987,33|987,81|988,437|988,499|989,33|989,81|990,33|990,85|991,33|991,81|992,33|992,81|993,33|993,84|994,33|994,81|996,33|996,95|997,33|997,99|998,33|998,81|1000,33|1000,98|1001,33|1001,81|1003,33|1003,89|1004,33|1004,94|1007,33|1007,81|1009,33|1009,94|1010,33|1010,81|1011,33|1011,103|1012,33|1012,85|1013,809|1013,970|1014,33|1014,81|1017,707|1017,829|1017,1023|1017,1100|1017,1152|1017,4394|1018,33|1018,81|1020,33|1020,85|1021,33|1021,81|1022,33|1022,84|1025,33|1025,81|1029,33|1029,81|1032,380|1035,33|1035,81|1037,33|1037,81|1039,33|1039,81|1041,33|1041,107|1043,33|1043,81|1044,33|1044,81|1047,416|1047,992|1047,6676|1047,10167|1047,10311|1049,33|1049,81|1052,33|1052,81|1053,8978|1053,9025|1053,12573|1053,20363|1053,20899|1055,33|1055,81|1056,33|1056,81|1058,865|1060,1254|1060,5191|1062,33|1062,81|1064,33|1064,87|1066,33|1066,81|1067,33|1067,81|1068,33|1068,81|1070,768|1071,33|1071,81|1072,33|1072,81|1073,924|1073,4182|1073,4560|1073,5137|1074,33|1074,102|1076,33|1076,90|1077,853|1077,2551|1077,7343|1079,33|1079,81|1081,9701|1081,18331|1082,422|1082,2144|1082,7698|1083,33|1083,91|1085,33|1085,81|1088,33|1088,81|1089,707|1089,829|1089,1023|1089,1100|1089,1152|1089,4062|1090,33|1090,95|1093,33|1093,81|1094,33|1094,81|1095,33|1095,81|1096,1608|1098,33|1098,81|1099,33|1099,85|1103,33|1103,81|1104,33|1104,81|1105,868|1105,987|1105,1128|1106,41|1106,276|1106,478|1106,1626|1109,33|1109,109|1110,1192|1111,6191|1111,10828|1111,12533|1111,14141|1111,14181|1111,15211|1111,15267|1111,16341|1111,16741|1111,22299|1112,33|1112,81|1113,4977|1113,19702|1113,22134|1113,22433|1113,23663|1113,23719|1113,24568|1113,35964|1113,38620|1113,38738|1113,41423|1113,42605|1114,33|1114,91|1115,33|1115,81|1116,1605|1117,33|1117,79|1118,33|1118,109|1119,33|1119,81|1120,33|1120,86|1121,33|1121,83|1122,33|1122,82|1123,2761|1123,2782|1124,988|1124,1242|1124,1823|1124,2094|1124,2785|1124,3544|1125,33|1125,81|1129,33|1129,81|1131,33|1131,114|1132,707|1133,33|1133,81|1135,33|1135,81|1137,33|1137,102|1139,33|1139,81|1141,33|1141,81|1146,33|1146,81|1147,33|1147,81|1150,359|1150,996|1152,33|1152,81|1153,33|1153,81|1154,33|1154,81|1156,33|1156,81|1157,6526|1157,10621|1159,33|1159,81|1161,5239|1162,33|1162,79|1163,33|1163,81|1164,33|1164,81|1165,33|1165,81|1168,327|1168,1059|1169,498|1171,418|1173,33|1173,82|1175,33|1175,81|1176,33|1176,85|1177,1053|1180,33|1180,81|1181,33|1181,81|1182,33|1182,81|1183,33|1183,81|1186,6076|1187,33|1187,81|1188,33|1188,81|1189,33|1189,81|1190,33|1190,93|1191,1196|1192,4948|1193,33|1193,81|1194,33|1194,81|1198,5549|1199,903|1199,1566|1200,33|1200,81|1201,747|1201,862|1203,7315|1205,33|1205,81|1207,33|1207,81|1208,33|1208,93|1209,33|1209,85|1210,33|1210,86|1211,33|1211,81|1213,33|1213,97|1214,33|1214,91|1215,33|1215,90|1217,33|1217,95|1218,33|1218,85|1219,33|1219,112|1220,1682|1221,33|1221,81|1222,33|1222,81|1223,33|1223,115|1225,33|1225,81|1226,33|1226,111|1227,33|1227,81|1228,33|1228,81|1229,5575|1229,5695|1231,33|1231,81|1232,589|1232,1392|1233,33|1233,81|1234,33|1234,83|1236,33|1236,100|1237,3096|1238,33|1238,109|1240,33|1240,84|1242,33|1242,89|1243,33|1243,83|1244,33|1244,81|1245,357|1245,786|1245,883|1245,1068|1245,1201|1245,1282|1245,1303|1245,1399|1245,1516|1245,4135|1246,33|1246,89|1247,33|1247,99|1248,46|1248,308|1248,536|1248,7539|1248,8728|1248,14966|1248,18294|1249,33|1249,97|1250,33|1250,81|1252,33|1252,81|1254,33|1254,85|1255,33|1255,102|1256,33|1256,81|1257,878|1257,1314|1257,1538|1259,33|1259,87|1262,2558|1263,33|1263,93|1265,1983|1266,33|1266,89|1268,33|1268,81|1272,33|1272,99|1273,377|1273,399|1273,457|1274,33|1274,89|1276,437|1276,499|1279,4000|1279,4071|1279,4157|1280,409|1280,431|1280,494|1280,979|1284,46|1284,299|1286,33|1286,81|1289,1259|1290,33|1290,80|1291,33|1291,81|1295,1746|1295,2143|1295,2364|1296,1110|1298,1046|1298,2005|1298,2534|1298,2709|1299,1046|1299,2005|1299,2534|1299,2709|1300,1064|1300,1409|1300,1592|1300,2274|1301,2755|1301,5633|1305,403|1305,2789|1307,1110
databaseshi 677,1003
